#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.050000,0.050000,0.200000
9,0.050000,0.050000,0.200000
10,0.200000,0.200000,0.800000
11,0.200000,0.200000,0.800000
12,0.200000,0.200000,0.800000
13,0.200000,0.200000,0.800000
14,0.200000,0.200000,0.800000
15,0.200000,0.200000,0.800000
16,0.200000,0.200000,0.800000
17,0.200000,0.200000,0.800000
18,0.200000,0.200000,0.800000
19,0.200000,0.200000,0.800000
20,0.200000,0.200000,0.800000
21,0.200000,0.200000,0.800000
22,0.200000,0.200000,0.800000
23,0.250000,0.250000,1.000000
24,0.300000,0.300000,1.200000
25,0.350000,0.350000,1.400000
26,0.500000,0.500000,2.000000
27,0.650000,0.650000,2.600000
28,0.700000,0.700000,2.800000
29,0.850000,0.850000,3.400000
30,0.950000,0.950000,3.800000
31,0.950000,0.950000,3.800000
32,0.950000,0.950000,3.800000
33,0.950000,0.950000,3.800000
34,1.100000,1.100000,4.400000
35,1.100000,1.100000,4.400000
36,1.250000,1.250000,5.000000
37,1.400000,1.450000,5.700000
38,1.400000,1.450000,5.700000
39,1.450000,1.500000,5.900000
40,1.500000,1.550000,6.100000
41,1.600000,1.650000,6.500000
42,1.700000,1.800000,7.000000
43,1.750000,1.850000,7.200000
44,1.750000,1.850000,7.200000
45,1.800000,1.900000,7.400000
46,1.900000,2.000000,7.800000
47,2.000000,2.100000,8.200000
48,2.150000,2.250000,8.800000
49,2.250000,2.350000,9.200000
50,2.350000,2.450000,9.600000
51,2.450000,2.550000,10.000000
52,2.450000,2.550000,10.000000
53,2.750000,2.850000,11.200000
54,2.900000,3.000000,11.800000
55,3.000000,3.100000,12.200000
56,3.050000,3.150000,12.400000
57,3.100000,3.200000,12.600000
58,3.250000,3.350000,13.200000
59,3.350000,3.450000,13.600000
60,3.500000,3.600000,14.200000
61,3.600000,3.700000,14.600000
62,3.750000,3.850000,15.200000
63,3.900000,4.000000,15.800000
64,4.050000,4.150000,16.400000
65,4.100000,4.200000,16.600000
66,4.350000,4.450000,17.600000
67,4.450000,4.550000,18.000000
68,4.600000,4.700000,18.600000
69,4.800000,4.900000,19.400000
70,4.950000,5.050000,20.000000
71,5.000000,5.100000,20.200000
72,5.100000,5.200000,20.600000
73,5.100000,5.200000,20.600000
74,5.250000,5.350000,21.200000
75,5.400000,5.500000,21.800000
76,5.500000,5.600000,22.200000
77,5.600000,5.700000,22.600000
78,6.000000,6.150000,24.300000
79,6.150000,6.350000,25.000000
80,6.350000,6.550000,25.800000
81,6.450000,6.650000,26.200000
82,6.600000,6.800000,26.800000
83,6.700000,6.900000,27.200000
84,6.900000,7.100000,28.000000
85,7.000000,7.200000,28.400000
86,7.050000,7.250000,28.600000
87,7.150000,7.400000,29.100000
88,7.300000,7.550000,29.700000
89,7.450000,7.750000,30.400000
90,7.600000,7.900000,31.000000
91,7.700000,8.000000,31.400000
92,7.950000,8.250000,32.400000
93,8.100000,8.400000,33.000000
94,8.350000,8.650000,34.000000
95,8.450000,8.750000,34.400000
96,8.750000,9.050000,35.600000
97,8.950000,9.250000,36.400000
98,9.100000,9.450000,37.100000
99,9.250000,9.600000,37.700000
100,9.500000,9.850000,38.700000
101,9.600000,9.950000,39.100000
102,9.800000,10.150000,39.900000
103,10.200000,10.550000,41.500000
104,10.300000,10.650000,41.900000
105,10.500000,10.900000,42.800000
106,10.700000,11.100000,43.600000
107,11.000000,11.450000,44.900000
108,11.350000,11.800000,46.300000
109,11.600000,12.050000,47.300000
110,12.000000,12.450000,48.900000
111,12.200000,12.750000,49.900000
112,12.350000,12.900000,50.500000
113,12.600000,13.200000,51.600000
114,13.100000,13.800000,53.800000
115,13.450000,14.200000,55.300000
116,13.700000,14.500000,56.400000
117,13.850000,14.750000,57.200000
118,14.250000,15.150000,58.800000
119,14.400000,15.300000,59.400000
120,14.600000,15.500000,60.200000
121,15.000000,15.900000,61.800000
122,15.200000,16.100000,62.600000
123,15.450000,16.400000,63.700000
124,15.600000,16.550000,64.300000
125,15.900000,16.900000,65.600000
126,16.150000,17.150000,66.600000
127,16.200000,17.200000,66.800000
128,16.400000,17.400000,67.600000
129,16.600000,17.650000,68.500000
130,16.750000,17.900000,69.300000
131,17.050000,18.200000,70.500000
132,17.350000,18.600000,71.900000
133,17.400000,18.650000,72.100000
134,17.900000,19.250000,74.300000
135,18.250000,19.650000,75.800000
136,18.650000,20.100000,77.500000
137,19.000000,20.500000,79.000000
138,19.250000,20.800000,80.100000
139,19.550000,21.150000,81.400000
140,19.750000,21.350000,82.200000
141,20.100000,21.800000,83.800000
142,20.500000,22.250000,85.500000
143,20.950000,22.750000,87.400000
144,21.200000,23.000000,88.400000
145,21.650000,23.500000,90.300000
146,22.050000,24.050000,92.200000
147,22.300000,24.300000,93.200000
148,22.600000,24.700000,94.600000
149,22.800000,24.900000,95.400000
150,23.050000,25.250000,96.600000
151,23.200000,25.400000,97.200000
152,23.700000,26.000000,99.400000
153,23.800000,26.100000,99.800000
154,24.100000,26.450000,101.100000
155,24.300000,26.700000,102.000000
156,24.500000,26.900000,102.800000
157,24.750000,27.150000,103.800000
158,24.900000,27.350000,104.500000
159,25.200000,27.650000,105.700000
160,25.600000,28.100000,107.400000
161,25.950000,28.450000,108.800000
162,26.450000,29.050000,111.000000
163,26.850000,29.600000,112.900000
164,27.250000,30.100000,114.700000
165,27.750000,30.700000,116.900000
166,28.000000,30.950000,117.900000
167,28.400000,31.400000,119.600000
168,28.550000,31.550000,120.200000
169,28.850000,31.950000,121.600000
170,29.250000,32.450000,123.400000
171,29.600000,32.800000,124.800000
172,29.800000,33.000000,125.600000
173,30.250000,33.550000,127.600000
174,30.500000,33.900000,128.800000
175,30.900000,34.300000,130.400000
176,31.400000,34.800000,132.400000
177,31.650000,35.050000,133.400000
178,31.800000,35.200000,134.000000
179,32.250000,35.750000,136.000000
180,32.450000,36.000000,136.900000
181,33.050000,36.700000,139.500000
182,33.350000,37.050000,140.800000
183,33.750000,37.450000,142.400000
184,34.200000,38.000000,144.400000
185,34.700000,38.550000,146.500000
186,35.050000,39.100000,148.300000
187,35.250000,39.400000,149.300000
188,35.650000,39.800000,150.900000
189,35.900000,40.050000,151.900000
190,36.300000,40.550000,153.700000
191,36.500000,40.850000,154.700000
192,36.750000,41.300000,156.100000
193,37.000000,41.650000,157.300000
194,37.550000,42.250000,159.600000
195,37.750000,42.450000,160.400000
196,38.200000,42.950000,162.300000
197,38.450000,43.300000,163.500000
198,38.650000,43.500000,164.300000
199,38.950000,43.850000,165.600000
200,39.550000,44.550000,168.200000
201,39.900000,45.050000,169.900000
202,40.200000,45.350000,171.100000
203,40.600000,45.850000,172.900000
204,41.150000,46.650000,175.600000
205,41.450000,46.950000,176.800000
206,41.850000,47.400000,178.500000
207,42.150000,47.700000,179.700000
208,42.450000,48.150000,181.200000
209,42.900000,48.750000,183.300000
210,43.200000,49.300000,185.000000
211,43.750000,50.150000,187.800000
212,44.450000,51.250000,191.400000
