#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with FC path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.050000,0.050000
6,6.100000,0.100000
8,8.150000,0.150000
10,10.150000,0.150000
12,12.150000,0.150000
14,14.200000,0.200000
16,16.250000,0.250000
18,18.350000,0.350000
20,20.600000,0.600000
22,22.750000,0.750000
24,24.750000,0.750000
26,27.000000,1.000000
28,29.150000,1.150000
30,31.300000,1.300000
32,33.350000,1.350000
34,35.350000,1.350000
36,37.500000,1.500000
38,39.600000,1.600000
40,41.700000,1.700000
42,43.750000,1.750000
44,46.050000,2.050000
46,48.150000,2.150000
48,50.200000,2.200000
50,52.450000,2.450000
52,54.700000,2.700000
54,56.850000,2.850000
56,59.100000,3.100000
58,61.300000,3.300000
60,63.450000,3.450000
62,65.500000,3.500000
64,67.850000,3.850000
66,70.200000,4.200000
68,72.450000,4.450000
70,74.800000,4.800000
72,77.050000,5.050000
74,79.250000,5.250000
76,81.450000,5.450000
78,83.950000,5.950000
80,86.150000,6.150000
82,88.450000,6.450000
84,91.000000,7.000000
86,92.900000,6.900000
88,95.400000,7.400000
90,98.100000,8.100000
92,100.500000,8.500000
94,102.850000,8.850000
96,105.450000,9.450000
98,107.850000,9.850000
100,110.150000,10.150000
102,112.700000,10.700000
104,115.500000,11.500000
106,118.200000,12.200000
108,120.500000,12.500000
110,122.800000,12.800000
112,125.250000,13.250000
114,127.850000,13.850000
116,130.350000,14.350000
118,133.050000,15.050000
120,135.700000,15.700000
122,138.450000,16.450000
124,141.100000,17.100000
126,143.700000,17.700000
128,146.450000,18.450000
130,148.750000,18.750000
132,151.100000,19.100000
134,153.850000,19.850000
136,156.450000,20.450000
138,158.950000,20.950000
140,161.700000,21.700000
142,164.400000,22.400000
144,166.950000,22.950000
146,169.950000,23.950000
148,172.250000,24.250000
150,175.650000,25.650000
152,178.550000,26.550000
154,181.250000,27.250000
156,183.900000,27.900000
158,186.950000,28.950000
160,189.650000,29.650000
162,192.600000,30.600000
164,195.400000,31.400000
166,198.100000,32.100000
168,201.050000,33.050000
170,203.700000,33.700000
172,206.750000,34.750000
174,209.800000,35.800000
176,212.900000,36.900000
178,215.800000,37.800000
180,218.850000,38.850000
182,221.800000,39.800000
184,224.500000,40.500000
186,226.850000,40.850000
188,229.400000,41.400000
190,232.400000,42.400000
192,235.350000,43.350000
194,238.550000,44.550000
196,240.950000,44.950000
198,244.000000,46.000000
200,247.300000,47.300000
202,250.300000,48.300000
204,253.050000,49.050000
206,255.850000,49.850000
208,259.400000,51.400000
210,262.400000,52.400000
212,265.450000,53.450000
214,268.650000,54.650000
216,271.350000,55.350000
218,274.300000,56.300000
220,277.550000,57.550000
222,281.150000,59.150000
224,284.250000,60.250000
226,287.000000,61.000000
228,291.350000,63.350000
230,294.950000,64.950000
232,298.100000,66.100000
234,301.600000,67.600000
236,304.850000,68.850000
238,308.350000,70.350000
240,311.550000,71.550000
242,315.850000,73.850000
244,319.900000,75.900000
246,323.500000,77.500000
248,326.950000,78.950000
250,331.000000,81.000000
252,335.550000,83.550000
254,338.100000,84.100000
256,342.100000,86.100000
258,346.450000,88.450000
260,350.900000,90.900000
262,354.100000,92.100000
264,357.950000,93.950000
266,361.300000,95.300000
268,365.250000,97.250000
270,368.700000,98.700000
272,371.800000,99.800000
274,374.850000,100.850000
276,377.850000,101.850000
278,380.300000,102.300000
280,382.600000,102.600000
282,386.550000,104.550000
284,389.800000,105.800000
286,393.650000,107.650000
288,397.550000,109.550000
290,402.200000,112.200000
292,406.350000,114.350000
294,409.350000,115.350000
296,414.100000,118.100000
298,418.550000,120.550000
300,422.700000,122.700000
302,426.500000,124.500000
304,430.000000,126.000000
306,433.400000,127.400000
308,437.150000,129.150000
310,442.550000,132.550000
312,447.500000,135.500000
314,451.450000,137.450000
316,455.550000,139.550000
318,460.500000,142.500000
320,463.100000,143.100000
322,468.200000,146.200000
324,474.050000,150.050000
326,477.450000,151.450000
328,481.450000,153.450000
330,485.550000,155.550000
332,488.550000,156.550000
334,492.050000,158.050000
336,496.550000,160.550000
338,499.750000,161.750000
340,504.850000,164.850000
342,508.700000,166.700000
