#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.050000,0.050000,0.200000
12,0.050000,0.050000,0.200000
13,0.050000,0.050000,0.200000
14,0.050000,0.050000,0.200000
15,0.050000,0.050000,0.200000
16,0.050000,0.050000,0.200000
17,0.050000,0.050000,0.200000
18,0.050000,0.050000,0.200000
19,0.050000,0.050000,0.200000
20,0.100000,0.100000,0.400000
21,0.100000,0.100000,0.400000
22,0.150000,0.150000,0.600000
23,0.150000,0.150000,0.600000
24,0.150000,0.150000,0.600000
25,0.150000,0.150000,0.600000
26,0.150000,0.150000,0.600000
27,0.150000,0.150000,0.600000
28,0.150000,0.150000,0.600000
29,0.150000,0.150000,0.600000
30,0.150000,0.150000,0.600000
31,0.150000,0.150000,0.600000
32,0.150000,0.150000,0.600000
33,0.150000,0.150000,0.600000
34,0.150000,0.150000,0.600000
35,0.150000,0.150000,0.600000
36,0.150000,0.150000,0.600000
37,0.150000,0.150000,0.600000
38,0.150000,0.150000,0.600000
39,0.150000,0.150000,0.600000
40,0.150000,0.150000,0.600000
41,0.150000,0.150000,0.600000
42,0.200000,0.200000,0.800000
43,0.200000,0.200000,0.800000
44,0.200000,0.200000,0.800000
45,0.200000,0.200000,0.800000
46,0.200000,0.200000,0.800000
47,0.200000,0.200000,0.800000
48,0.200000,0.200000,0.800000
49,0.250000,0.250000,1.000000
50,0.250000,0.250000,1.000000
51,0.250000,0.250000,1.000000
52,0.250000,0.250000,1.000000
53,0.250000,0.250000,1.000000
54,0.250000,0.250000,1.000000
55,0.250000,0.250000,1.000000
56,0.250000,0.250000,1.000000
57,0.250000,0.250000,1.000000
58,0.300000,0.300000,1.200000
59,0.300000,0.300000,1.200000
60,0.300000,0.300000,1.200000
61,0.350000,0.350000,1.400000
62,0.400000,0.400000,1.600000
63,0.400000,0.400000,1.600000
64,0.400000,0.400000,1.600000
65,0.400000,0.400000,1.600000
66,0.400000,0.400000,1.600000
67,0.400000,0.400000,1.600000
68,0.450000,0.450000,1.800000
69,0.500000,0.500000,2.000000
70,0.500000,0.500000,2.000000
71,0.500000,0.500000,2.000000
72,0.500000,0.500000,2.000000
73,0.500000,0.500000,2.000000
74,0.500000,0.500000,2.000000
75,0.500000,0.500000,2.000000
76,0.500000,0.500000,2.000000
77,0.500000,0.500000,2.000000
78,0.550000,0.550000,2.200000
79,0.550000,0.550000,2.200000
80,0.600000,0.600000,2.400000
81,0.650000,0.650000,2.600000
82,0.650000,0.650000,2.600000
83,0.650000,0.650000,2.600000
84,0.750000,0.750000,3.000000
85,0.750000,0.750000,3.000000
86,0.750000,0.750000,3.000000
87,0.750000,0.750000,3.000000
88,0.800000,0.800000,3.200000
89,0.800000,0.800000,3.200000
90,0.800000,0.800000,3.200000
91,0.800000,0.800000,3.200000
92,0.850000,0.850000,3.400000
93,0.850000,0.850000,3.400000
94,0.900000,0.900000,3.600000
95,0.900000,0.900000,3.600000
96,0.900000,0.900000,3.600000
97,0.950000,0.950000,3.800000
98,1.000000,1.050000,4.100000
99,1.100000,1.150000,4.500000
100,1.100000,1.150000,4.500000
101,1.100000,1.150000,4.500000
102,1.100000,1.150000,4.500000
103,1.100000,1.150000,4.500000
104,1.100000,1.150000,4.500000
105,1.150000,1.200000,4.700000
106,1.150000,1.200000,4.700000
107,1.150000,1.200000,4.700000
108,1.200000,1.250000,4.900000
109,1.200000,1.250000,4.900000
110,1.200000,1.250000,4.900000
111,1.250000,1.300000,5.100000
112,1.350000,1.400000,5.500000
113,1.350000,1.400000,5.500000
114,1.400000,1.450000,5.700000
115,1.550000,1.600000,6.300000
116,1.550000,1.600000,6.300000
117,1.550000,1.600000,6.300000
118,1.550000,1.600000,6.300000
119,1.550000,1.600000,6.300000
120,1.600000,1.650000,6.500000
121,1.600000,1.650000,6.500000
122,1.650000,1.700000,6.700000
123,1.650000,1.700000,6.700000
124,1.700000,1.750000,6.900000
125,1.700000,1.750000,6.900000
126,1.700000,1.750000,6.900000
127,1.700000,1.750000,6.900000
128,1.750000,1.800000,7.100000
129,1.750000,1.800000,7.100000
130,1.750000,1.800000,7.100000
131,1.750000,1.800000,7.100000
132,1.750000,1.800000,7.100000
133,1.800000,1.850000,7.300000
134,1.850000,1.900000,7.500000
135,1.850000,1.900000,7.500000
136,1.850000,1.900000,7.500000
137,1.900000,1.950000,7.700000
138,2.050000,2.100000,8.300000
139,2.100000,2.150000,8.500000
140,2.100000,2.150000,8.500000
141,2.100000,2.150000,8.500000
142,2.100000,2.150000,8.500000
143,2.100000,2.150000,8.500000
144,2.150000,2.200000,8.700000
145,2.150000,2.200000,8.700000
146,2.150000,2.200000,8.700000
147,2.150000,2.200000,8.700000
148,2.200000,2.250000,8.900000
149,2.300000,2.350000,9.300000
150,2.300000,2.350000,9.300000
151,2.400000,2.450000,9.700000
152,2.550000,2.600000,10.300000
153,2.600000,2.650000,10.500000
154,2.650000,2.700000,10.700000
155,2.750000,2.800000,11.100000
156,2.750000,2.800000,11.100000
157,2.850000,2.900000,11.500000
158,2.850000,2.900000,11.500000
159,2.850000,2.900000,11.500000
160,2.850000,2.900000,11.500000
161,2.900000,2.950000,11.700000
162,2.950000,3.000000,11.900000
163,3.000000,3.050000,12.100000
164,3.000000,3.050000,12.100000
165,3.000000,3.050000,12.100000
166,3.050000,3.100000,12.300000
167,3.100000,3.150000,12.500000
168,3.100000,3.150000,12.500000
169,3.100000,3.150000,12.500000
170,3.100000,3.150000,12.500000
171,3.100000,3.150000,12.500000
172,3.250000,3.300000,13.100000
173,3.250000,3.300000,13.100000
174,3.300000,3.350000,13.300000
175,3.300000,3.350000,13.300000
176,3.300000,3.350000,13.300000
177,3.300000,3.350000,13.300000
178,3.350000,3.400000,13.500000
179,3.350000,3.400000,13.500000
180,3.350000,3.400000,13.500000
181,3.350000,3.400000,13.500000
182,3.350000,3.400000,13.500000
183,3.400000,3.450000,13.700000
184,3.450000,3.500000,13.900000
185,3.500000,3.550000,14.100000
186,3.550000,3.600000,14.300000
187,3.550000,3.600000,14.300000
188,3.550000,3.600000,14.300000
189,3.550000,3.600000,14.300000
190,3.550000,3.600000,14.300000
191,3.550000,3.600000,14.300000
192,3.600000,3.650000,14.500000
193,3.750000,3.800000,15.100000
194,3.850000,3.900000,15.500000
195,3.850000,3.900000,15.500000
196,3.850000,3.900000,15.500000
197,3.850000,3.900000,15.500000
198,3.900000,3.950000,15.700000
199,3.950000,4.000000,15.900000
200,3.950000,4.000000,15.900000
201,4.000000,4.050000,16.100000
202,4.000000,4.050000,16.100000
203,4.050000,4.100000,16.300000
204,4.100000,4.150000,16.500000
205,4.150000,4.200000,16.700000
206,4.150000,4.200000,16.700000
207,4.150000,4.200000,16.700000
208,4.150000,4.200000,16.700000
209,4.200000,4.250000,16.900000
210,4.250000,4.300000,17.100000
211,4.300000,4.350000,17.300000
212,4.400000,4.450000,17.700000
