#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with NC path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.050000,0.000000
6,6.100000,0.000000
8,8.150000,0.000000
10,10.150000,0.000000
12,12.150000,0.000000
14,14.200000,0.000000
16,16.250000,0.000000
18,18.350000,0.000000
20,20.600000,0.000000
22,22.750000,0.000000
24,24.750000,0.000000
26,27.000000,0.000000
28,29.150000,0.000000
30,31.300000,0.000000
32,33.350000,0.000000
34,35.350000,0.000000
36,37.500000,0.000000
38,39.600000,0.000000
40,41.700000,0.000000
42,43.750000,0.000000
44,46.050000,0.000000
46,48.150000,0.000000
48,50.200000,0.000000
50,52.450000,0.000000
52,54.700000,0.000000
54,56.850000,0.000000
56,59.100000,0.000000
58,61.300000,0.000000
60,63.450000,0.000000
62,65.600000,0.000000
64,68.000000,0.000000
66,70.400000,0.000000
68,72.700000,0.000000
70,75.050000,0.000000
72,77.300000,0.000000
74,79.500000,0.000000
76,81.700000,0.000000
78,84.250000,0.000000
80,86.450000,0.000000
82,88.800000,0.000000
84,91.400000,0.000000
86,93.500000,0.000000
88,96.000000,0.000000
90,98.800000,0.000000
92,101.250000,0.000000
94,103.700000,0.000000
96,106.300000,0.000000
98,108.700000,0.000000
100,111.050000,0.000000
102,113.800000,0.000000
104,116.750000,0.000000
106,119.500000,0.000000
108,121.900000,0.000000
110,124.250000,0.000000
112,126.750000,0.000000
114,129.450000,0.000000
116,132.000000,0.000000
118,134.700000,0.000000
120,137.400000,0.000000
122,140.250000,0.000000
124,142.950000,0.000000
126,145.600000,0.000000
128,148.450000,0.000000
130,150.750000,0.000000
132,153.150000,0.000000
134,156.050000,0.000000
136,158.750000,0.000000
138,161.350000,0.000000
140,164.250000,0.000000
142,167.150000,0.000000
144,169.750000,0.000000
146,172.750000,0.000000
148,175.100000,0.000000
150,178.550000,0.000000
152,181.450000,0.000000
154,184.400000,0.000000
156,187.150000,0.000000
158,190.250000,0.000000
160,193.200000,0.000000
162,196.300000,0.000000
164,199.150000,0.000000
166,202.250000,0.000000
168,205.250000,0.000000
170,208.100000,0.000000
172,211.300000,0.000000
174,214.500000,0.000000
176,217.750000,0.000000
178,220.850000,0.000000
180,224.050000,0.000000
182,227.400000,0.000000
184,230.350000,0.000000
186,232.850000,0.000000
188,235.950000,0.000000
190,238.950000,0.000000
192,242.400000,0.000000
194,245.650000,0.000000
196,248.150000,0.000000
198,251.550000,0.000000
200,255.050000,0.000000
202,258.150000,0.000000
204,261.250000,0.000000
206,264.250000,0.000000
208,268.350000,0.000000
210,271.400000,0.000000
212,275.000000,0.000000
214,278.600000,0.000000
216,281.450000,0.000000
218,284.750000,0.000000
220,288.350000,0.000000
222,292.450000,0.000000
224,295.800000,0.000000
226,298.850000,0.000000
228,303.500000,0.000000
230,307.350000,0.000000
232,310.550000,0.000000
234,314.600000,0.000000
236,318.300000,0.000000
238,322.250000,0.000000
240,326.000000,0.000000
242,330.600000,0.000000
244,334.800000,0.000000
246,338.850000,0.000000
248,342.650000,0.000000
250,346.850000,0.000000
252,351.550000,0.000000
254,354.900000,0.000000
256,359.550000,0.000000
258,365.000000,0.000000
260,370.050000,0.000000
262,373.400000,0.000000
264,377.600000,0.000000
266,381.600000,0.000000
268,385.900000,0.000000
270,390.500000,0.000000
272,394.250000,0.000000
274,397.850000,0.000000
276,401.650000,0.000000
278,405.300000,0.000000
280,408.650000,0.000000
282,413.550000,0.000000
284,417.450000,0.000000
286,421.500000,0.000000
288,425.750000,0.000000
290,430.750000,0.000000
292,435.500000,0.000000
294,439.500000,0.000000
296,445.200000,0.000000
298,450.100000,0.000000
300,454.700000,0.000000
302,460.250000,0.000000
304,464.800000,0.000000
306,469.700000,0.000000
308,473.850000,0.000000
310,479.450000,0.000000
312,485.100000,0.000000
314,489.950000,0.000000
316,494.950000,0.000000
318,501.150000,0.000000
