#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.050000,0.000000,0.100000
23,0.050000,0.000000,0.100000
24,0.050000,0.000000,0.100000
25,0.050000,0.000000,0.100000
26,0.050000,0.000000,0.100000
27,0.050000,0.000000,0.100000
28,0.050000,0.000000,0.100000
29,0.100000,0.000000,0.200000
30,0.100000,0.000000,0.200000
31,0.100000,0.000000,0.200000
32,0.100000,0.000000,0.200000
33,0.100000,0.000000,0.200000
34,0.100000,0.000000,0.200000
35,0.100000,0.000000,0.200000
36,0.100000,0.000000,0.200000
37,0.100000,0.000000,0.200000
38,0.100000,0.000000,0.200000
39,0.100000,0.000000,0.200000
40,0.150000,0.000000,0.300000
41,0.150000,0.000000,0.300000
42,0.150000,0.000000,0.300000
43,0.150000,0.000000,0.300000
44,0.150000,0.000000,0.300000
45,0.150000,0.000000,0.300000
46,0.150000,0.000000,0.300000
47,0.150000,0.000000,0.300000
48,0.150000,0.000000,0.300000
49,0.150000,0.000000,0.300000
50,0.150000,0.000000,0.300000
51,0.150000,0.000000,0.300000
52,0.150000,0.000000,0.300000
53,0.150000,0.000000,0.300000
54,0.150000,0.000000,0.300000
55,0.150000,0.000000,0.300000
56,0.200000,0.000000,0.400000
57,0.200000,0.000000,0.400000
58,0.200000,0.000000,0.400000
59,0.200000,0.000000,0.400000
60,0.200000,0.000000,0.400000
61,0.200000,0.000000,0.400000
62,0.200000,0.000000,0.400000
63,0.200000,0.000000,0.400000
64,0.200000,0.000000,0.400000
65,0.200000,0.000000,0.400000
66,0.250000,0.000000,0.500000
67,0.250000,0.000000,0.500000
68,0.250000,0.000000,0.500000
69,0.250000,0.000000,0.500000
70,0.300000,0.000000,0.600000
71,0.350000,0.000000,0.700000
72,0.350000,0.000000,0.700000
73,0.350000,0.000000,0.700000
74,0.350000,0.000000,0.700000
75,0.350000,0.000000,0.700000
76,0.350000,0.000000,0.700000
77,0.400000,0.000000,0.800000
78,0.400000,0.000000,0.800000
79,0.450000,0.000000,0.900000
80,0.450000,0.000000,0.900000
81,0.450000,0.000000,0.900000
82,0.500000,0.000000,1.000000
83,0.550000,0.000000,1.100000
84,0.550000,0.000000,1.100000
85,0.550000,0.000000,1.100000
86,0.550000,0.000000,1.100000
87,0.650000,0.000000,1.300000
88,0.650000,0.000000,1.300000
89,0.650000,0.000000,1.300000
90,0.650000,0.000000,1.300000
91,0.700000,0.000000,1.400000
92,0.700000,0.000000,1.400000
93,0.750000,0.000000,1.500000
94,0.750000,0.000000,1.500000
95,0.750000,0.000000,1.500000
96,0.750000,0.000000,1.500000
97,0.750000,0.000000,1.500000
98,0.800000,0.000000,1.600000
99,0.800000,0.000000,1.600000
100,0.800000,0.000000,1.600000
101,0.800000,0.000000,1.600000
102,0.800000,0.000000,1.600000
103,0.800000,0.000000,1.600000
104,0.800000,0.000000,1.600000
105,0.850000,0.000000,1.700000
106,0.850000,0.000000,1.700000
107,0.850000,0.000000,1.700000
108,0.850000,0.000000,1.700000
109,0.900000,0.000000,1.800000
110,0.950000,0.000000,1.900000
111,1.000000,0.000000,2.000000
112,1.000000,0.000000,2.000000
113,1.050000,0.000000,2.100000
114,1.050000,0.000000,2.100000
115,1.050000,0.000000,2.100000
116,1.100000,0.000000,2.200000
117,1.100000,0.000000,2.200000
118,1.100000,0.000000,2.200000
119,1.100000,0.000000,2.200000
120,1.150000,0.000000,2.300000
121,1.200000,0.000000,2.400000
122,1.200000,0.000000,2.400000
123,1.250000,0.000000,2.500000
124,1.250000,0.000000,2.500000
125,1.300000,0.000000,2.600000
126,1.300000,0.000000,2.600000
127,1.350000,0.000000,2.700000
128,1.400000,0.000000,2.800000
129,1.450000,0.000000,2.900000
130,1.450000,0.000000,2.900000
131,1.450000,0.000000,2.900000
132,1.450000,0.000000,2.900000
133,1.450000,0.000000,2.900000
134,1.550000,0.000000,3.100000
135,1.550000,0.000000,3.100000
136,1.600000,0.000000,3.200000
137,1.650000,0.000000,3.300000
138,1.650000,0.000000,3.300000
139,1.650000,0.000000,3.300000
140,1.650000,0.000000,3.300000
141,1.650000,0.000000,3.300000
142,1.800000,0.000000,3.600000
143,1.800000,0.000000,3.600000
144,1.800000,0.000000,3.600000
145,1.800000,0.000000,3.600000
146,1.900000,0.000000,3.800000
147,1.900000,0.000000,3.800000
148,1.950000,0.000000,3.900000
149,1.950000,0.000000,3.900000
150,1.950000,0.000000,3.900000
151,2.000000,0.000000,4.000000
152,2.100000,0.000000,4.200000
153,2.150000,0.000000,4.300000
154,2.250000,0.000000,4.500000
155,2.350000,0.000000,4.700000
156,2.400000,0.000000,4.800000
157,2.400000,0.000000,4.800000
158,2.400000,0.000000,4.800000
159,2.400000,0.000000,4.800000
160,2.400000,0.000000,4.800000
161,2.450000,0.000000,4.900000
162,2.500000,0.000000,5.000000
163,2.500000,0.000000,5.000000
164,2.500000,0.000000,5.000000
165,2.550000,0.000000,5.100000
166,2.600000,0.000000,5.200000
167,2.650000,0.000000,5.300000
168,2.650000,0.000000,5.300000
169,2.700000,0.000000,5.400000
170,2.850000,0.000000,5.700000
171,2.850000,0.000000,5.700000
172,2.850000,0.000000,5.700000
173,2.850000,0.000000,5.700000
174,2.900000,0.000000,5.800000
175,2.950000,0.000000,5.900000
176,3.000000,0.000000,6.000000
177,3.050000,0.000000,6.100000
178,3.050000,0.000000,6.100000
179,3.100000,0.000000,6.200000
180,3.150000,0.000000,6.300000
181,3.150000,0.000000,6.300000
182,3.200000,0.000000,6.400000
183,3.200000,0.000000,6.400000
184,3.200000,0.000000,6.400000
185,3.200000,0.000000,6.400000
186,3.200000,0.000000,6.400000
187,3.250000,0.000000,6.500000
188,3.300000,0.000000,6.600000
189,3.300000,0.000000,6.600000
190,3.300000,0.000000,6.600000
191,3.350000,0.000000,6.700000
192,3.350000,0.000000,6.700000
193,3.350000,0.000000,6.700000
194,3.450000,0.000000,6.900000
195,3.450000,0.000000,6.900000
196,3.500000,0.000000,7.000000
197,3.550000,0.000000,7.100000
198,3.650000,0.000000,7.300000
199,3.650000,0.000000,7.300000
200,3.700000,0.000000,7.400000
201,3.750000,0.000000,7.500000
202,3.750000,0.000000,7.500000
203,3.800000,0.000000,7.600000
204,3.850000,0.000000,7.700000
205,3.900000,0.000000,7.800000
206,3.900000,0.000000,7.800000
207,3.900000,0.000000,7.800000
208,3.950000,0.000000,7.900000
209,3.950000,0.000000,7.900000
210,3.950000,0.000000,7.900000
211,3.950000,0.000000,7.900000
212,3.950000,0.000000,7.900000
