#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with NC path compression.
#The data was generated for n = 5000 and delta = 1.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.050000,0.000000,0.100000
18,0.050000,0.000000,0.100000
19,0.050000,0.000000,0.100000
20,0.050000,0.000000,0.100000
21,0.050000,0.000000,0.100000
22,0.050000,0.000000,0.100000
23,0.050000,0.000000,0.100000
24,0.100000,0.000000,0.200000
25,0.100000,0.000000,0.200000
26,0.150000,0.000000,0.300000
27,0.150000,0.000000,0.300000
28,0.200000,0.000000,0.400000
29,0.200000,0.000000,0.400000
30,0.250000,0.000000,0.500000
31,0.250000,0.000000,0.500000
32,0.250000,0.000000,0.500000
33,0.250000,0.000000,0.500000
34,0.250000,0.000000,0.500000
35,0.250000,0.000000,0.500000
36,0.250000,0.000000,0.500000
37,0.250000,0.000000,0.500000
38,0.250000,0.000000,0.500000
39,0.400000,0.000000,0.800000
40,0.400000,0.000000,0.800000
41,0.450000,0.000000,0.900000
42,0.450000,0.000000,0.900000
43,0.450000,0.000000,0.900000
44,0.450000,0.000000,0.900000
45,0.450000,0.000000,0.900000
46,0.500000,0.000000,1.000000
47,0.500000,0.000000,1.000000
48,0.500000,0.000000,1.000000
49,0.550000,0.000000,1.100000
50,0.600000,0.000000,1.200000
51,0.600000,0.000000,1.200000
52,0.600000,0.000000,1.200000
53,0.650000,0.000000,1.300000
54,0.650000,0.000000,1.300000
55,0.650000,0.000000,1.300000
56,0.650000,0.000000,1.300000
57,0.650000,0.000000,1.300000
58,0.650000,0.000000,1.300000
59,0.700000,0.000000,1.400000
60,0.700000,0.000000,1.400000
61,0.700000,0.000000,1.400000
62,0.800000,0.000000,1.600000
63,0.800000,0.000000,1.600000
64,0.800000,0.000000,1.600000
65,0.800000,0.000000,1.600000
66,0.800000,0.000000,1.600000
67,0.850000,0.000000,1.700000
68,0.900000,0.000000,1.800000
69,0.950000,0.000000,1.900000
70,0.950000,0.000000,1.900000
71,1.000000,0.000000,2.000000
72,1.000000,0.000000,2.000000
73,1.050000,0.000000,2.100000
74,1.100000,0.000000,2.200000
75,1.250000,0.000000,2.500000
76,1.250000,0.000000,2.500000
77,1.300000,0.000000,2.600000
78,1.350000,0.000000,2.700000
79,1.400000,0.000000,2.800000
80,1.400000,0.000000,2.800000
81,1.450000,0.000000,2.900000
82,1.500000,0.000000,3.000000
83,1.500000,0.000000,3.000000
84,1.500000,0.000000,3.000000
85,1.500000,0.000000,3.000000
86,1.550000,0.000000,3.100000
87,1.550000,0.000000,3.100000
88,1.750000,0.000000,3.500000
89,1.750000,0.000000,3.500000
90,1.800000,0.000000,3.600000
91,1.850000,0.000000,3.700000
92,1.950000,0.000000,3.900000
93,1.950000,0.000000,3.900000
94,2.050000,0.000000,4.100000
95,2.050000,0.000000,4.100000
96,2.100000,0.000000,4.200000
97,2.100000,0.000000,4.200000
98,2.150000,0.000000,4.300000
99,2.150000,0.000000,4.300000
100,2.250000,0.000000,4.500000
101,2.300000,0.000000,4.600000
102,2.300000,0.000000,4.600000
103,2.300000,0.000000,4.600000
104,2.300000,0.000000,4.600000
105,2.350000,0.000000,4.700000
106,2.350000,0.000000,4.700000
107,2.400000,0.000000,4.800000
108,2.450000,0.000000,4.900000
109,2.450000,0.000000,4.900000
110,2.500000,0.000000,5.000000
111,2.600000,0.000000,5.200000
112,2.600000,0.000000,5.200000
113,2.600000,0.000000,5.200000
114,2.650000,0.000000,5.300000
115,2.700000,0.000000,5.400000
116,2.700000,0.000000,5.400000
117,2.750000,0.000000,5.500000
118,2.750000,0.000000,5.500000
119,2.900000,0.000000,5.800000
120,3.050000,0.000000,6.100000
121,3.050000,0.000000,6.100000
122,3.050000,0.000000,6.100000
123,3.150000,0.000000,6.300000
124,3.250000,0.000000,6.500000
125,3.300000,0.000000,6.600000
126,3.400000,0.000000,6.800000
127,3.450000,0.000000,6.900000
128,3.450000,0.000000,6.900000
129,3.500000,0.000000,7.000000
130,3.550000,0.000000,7.100000
131,3.650000,0.000000,7.300000
132,3.750000,0.000000,7.500000
133,3.800000,0.000000,7.600000
134,3.800000,0.000000,7.600000
135,3.800000,0.000000,7.600000
136,3.800000,0.000000,7.600000
137,3.950000,0.000000,7.900000
138,4.050000,0.000000,8.100000
139,4.050000,0.000000,8.100000
140,4.100000,0.000000,8.200000
141,4.250000,0.000000,8.500000
142,4.300000,0.000000,8.600000
143,4.400000,0.000000,8.800000
144,4.450000,0.000000,8.900000
145,4.500000,0.000000,9.000000
146,4.550000,0.000000,9.100000
147,4.650000,0.000000,9.300000
148,4.700000,0.000000,9.400000
149,4.700000,0.000000,9.400000
150,4.800000,0.000000,9.600000
151,4.900000,0.000000,9.800000
152,4.900000,0.000000,9.800000
153,4.950000,0.000000,9.900000
154,5.000000,0.000000,10.000000
155,5.000000,0.000000,10.000000
156,5.000000,0.000000,10.000000
157,5.000000,0.000000,10.000000
158,5.050000,0.000000,10.100000
159,5.150000,0.000000,10.300000
160,5.250000,0.000000,10.500000
161,5.250000,0.000000,10.500000
162,5.500000,0.000000,11.000000
163,5.500000,0.000000,11.000000
164,5.550000,0.000000,11.100000
165,5.600000,0.000000,11.200000
166,5.650000,0.000000,11.300000
167,5.750000,0.000000,11.500000
168,5.850000,0.000000,11.700000
169,5.950000,0.000000,11.900000
170,6.050000,0.000000,12.100000
171,6.050000,0.000000,12.100000
172,6.100000,0.000000,12.200000
173,6.100000,0.000000,12.200000
174,6.150000,0.000000,12.300000
175,6.150000,0.000000,12.300000
176,6.250000,0.000000,12.500000
177,6.450000,0.000000,12.900000
178,6.600000,0.000000,13.200000
179,6.650000,0.000000,13.300000
180,6.800000,0.000000,13.600000
181,6.850000,0.000000,13.700000
182,6.850000,0.000000,13.700000
183,6.900000,0.000000,13.800000
184,6.950000,0.000000,13.900000
185,7.000000,0.000000,14.000000
186,7.100000,0.000000,14.200000
187,7.250000,0.000000,14.500000
188,7.250000,0.000000,14.500000
189,7.350000,0.000000,14.700000
190,7.450000,0.000000,14.900000
191,7.450000,0.000000,14.900000
192,7.450000,0.000000,14.900000
193,7.450000,0.000000,14.900000
194,7.500000,0.000000,15.000000
195,7.500000,0.000000,15.000000
196,7.600000,0.000000,15.200000
197,7.800000,0.000000,15.600000
198,7.900000,0.000000,15.800000
199,7.950000,0.000000,15.900000
200,8.100000,0.000000,16.200000
201,8.200000,0.000000,16.400000
202,8.400000,0.000000,16.800000
203,8.450000,0.000000,16.900000
204,8.450000,0.000000,16.900000
205,8.450000,0.000000,16.900000
206,8.500000,0.000000,17.000000
207,8.650000,0.000000,17.300000
208,8.800000,0.000000,17.600000
209,8.900000,0.000000,17.800000
210,8.900000,0.000000,17.800000
211,9.100000,0.000000,18.200000
