#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with PH path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.050000,0.050000
6,6.100000,0.100000
8,8.150000,0.150000
10,10.150000,0.150000
12,12.150000,0.150000
14,14.200000,0.200000
16,16.250000,0.250000
18,18.350000,0.350000
20,20.600000,0.600000
22,22.750000,0.750000
24,24.750000,0.750000
26,27.000000,1.000000
28,29.150000,1.150000
30,31.300000,1.300000
32,33.350000,1.350000
34,35.350000,1.350000
36,37.500000,1.500000
38,39.600000,1.600000
40,41.700000,1.700000
42,43.750000,1.750000
44,46.050000,2.050000
46,48.150000,2.150000
48,50.200000,2.200000
50,52.450000,2.450000
52,54.700000,2.700000
54,56.850000,2.850000
56,59.100000,3.100000
58,61.300000,3.300000
60,63.450000,3.450000
62,65.600000,3.550000
64,68.000000,3.850000
66,70.400000,4.150000
68,72.700000,4.400000
70,75.050000,4.750000
72,77.300000,5.000000
74,79.500000,5.200000
76,81.700000,5.400000
78,84.250000,5.850000
80,86.450000,6.050000
82,88.800000,6.350000
84,91.400000,6.850000
86,93.400000,6.900000
88,95.900000,7.400000
90,98.700000,8.100000
92,101.150000,8.500000
94,103.600000,8.900000
96,106.200000,9.500000
98,108.600000,9.850000
100,110.950000,10.200000
102,113.700000,10.850000
104,116.650000,11.650000
106,119.400000,12.300000
108,121.800000,12.600000
110,124.150000,12.900000
112,126.650000,13.300000
114,129.350000,13.900000
116,131.900000,14.350000
118,134.600000,14.950000
120,137.300000,15.600000
122,140.100000,16.250000
124,142.800000,16.900000
126,145.450000,17.350000
128,148.300000,17.900000
130,150.600000,18.150000
132,153.000000,18.500000
134,155.900000,19.250000
136,158.550000,19.750000
138,161.150000,20.250000
140,164.050000,21.000000
142,166.950000,21.550000
144,169.550000,22.100000
146,172.550000,22.950000
148,174.900000,23.250000
150,178.350000,24.450000
152,181.250000,25.200000
154,184.200000,26.000000
156,186.950000,26.650000
158,190.000000,27.550000
160,192.900000,28.350000
162,195.950000,29.250000
164,198.800000,29.950000
166,201.850000,30.800000
168,204.850000,31.500000
170,207.700000,32.200000
172,210.900000,33.100000
174,214.100000,34.000000
176,217.300000,35.000000
178,220.350000,35.850000
180,223.550000,36.600000
182,226.850000,37.650000
184,229.750000,38.350000
186,232.250000,38.750000
188,235.250000,39.500000
190,238.250000,40.300000
192,241.600000,41.400000
194,244.850000,42.550000
196,247.350000,42.950000
198,250.700000,43.800000
200,254.150000,45.050000
202,257.250000,46.050000
204,260.250000,46.600000
206,263.250000,47.450000
208,267.200000,48.950000
210,270.250000,49.750000
212,273.750000,50.800000
214,277.200000,51.950000
216,280.000000,52.700000
218,283.150000,53.800000
220,286.750000,54.900000
222,290.750000,56.050000
224,294.000000,56.800000
226,296.950000,57.450000
228,301.500000,59.100000
230,305.200000,60.100000
232,308.400000,61.250000
234,312.300000,62.550000
236,315.950000,63.650000
238,319.750000,64.850000
240,323.300000,65.950000
242,327.900000,67.800000
244,332.000000,69.350000
246,336.000000,70.800000
248,339.750000,71.950000
250,343.900000,73.400000
252,348.500000,75.100000
254,351.500000,75.900000
256,355.900000,77.500000
258,360.950000,79.550000
260,365.750000,81.350000
262,369.100000,82.600000
264,373.200000,84.150000
266,377.100000,85.400000
268,381.350000,86.900000
270,385.550000,88.250000
272,389.000000,89.450000
274,392.600000,90.550000
276,396.200000,91.700000
278,399.500000,92.500000
280,402.750000,93.500000
282,407.350000,95.550000
284,411.000000,96.750000
286,415.000000,98.250000
288,419.100000,99.950000
290,424.000000,102.050000
292,428.700000,103.750000
294,432.150000,105.050000
296,437.700000,107.300000
298,442.550000,109.000000
300,447.050000,110.500000
302,452.550000,112.750000
304,456.650000,114.350000
306,461.000000,115.950000
308,465.100000,117.300000
310,470.650000,119.650000
312,476.150000,121.500000
314,480.750000,123.250000
316,485.500000,124.800000
318,490.550000,126.550000
320,494.500000,127.900000
322,500.950000,130.700000
324,507.000000,133.250000
326,511.000000,134.400000
328,516.050000,136.150000
330,520.250000,137.700000
332,524.400000,139.050000
334,529.450000,141.150000
336,534.300000,143.100000
338,538.350000,144.650000
340,544.500000,147.100000
342,548.800000,148.800000
