#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000001
5,0.000001,0.000000,0.000001
6,0.012501,0.000000,0.025001
7,0.012506,0.000005,0.025022
8,0.012506,0.000005,0.025022
9,0.012506,0.000005,0.025022
10,0.012506,0.000005,0.025022
11,0.012506,0.000005,0.025022
12,0.012506,0.000005,0.025022
13,0.012506,0.000005,0.025022
14,0.025006,0.000005,0.050022
15,0.025006,0.000005,0.050022
16,0.025006,0.000005,0.050022
17,0.025006,0.000005,0.050022
18,0.025214,0.000005,0.050439
19,0.037714,0.000005,0.075439
20,0.037714,0.000005,0.075439
21,0.037714,0.000005,0.075439
22,0.037714,0.000005,0.075439
23,0.037714,0.000005,0.075439
24,0.050422,0.000005,0.100855
25,0.050422,0.000005,0.100855
26,0.050422,0.000005,0.100855
27,0.050422,0.000005,0.100855
28,0.050636,0.000010,0.101293
29,0.050636,0.000010,0.101293
30,0.050636,0.000010,0.101293
31,0.063141,0.000016,0.126314
32,0.063141,0.000016,0.126314
33,0.075642,0.000016,0.151315
34,0.075642,0.000016,0.151315
35,0.075647,0.000021,0.151335
36,0.088147,0.000021,0.176335
37,0.088361,0.000026,0.176773
38,0.088361,0.000026,0.176773
39,0.088366,0.000031,0.176794
40,0.088788,0.000036,0.177649
41,0.088793,0.000042,0.177670
42,0.088793,0.000042,0.177670
43,0.088799,0.000047,0.177691
44,0.088799,0.000047,0.177691
45,0.088799,0.000047,0.177691
46,0.088799,0.000047,0.177691
47,0.089007,0.000047,0.178108
48,0.089012,0.000052,0.178129
49,0.114012,0.000052,0.228129
50,0.114221,0.000052,0.228546
51,0.114221,0.000052,0.228547
52,0.114221,0.000052,0.228547
53,0.114221,0.000052,0.228547
54,0.114227,0.000057,0.228568
55,0.114227,0.000057,0.228569
56,0.114228,0.000057,0.228570
57,0.114228,0.000057,0.228570
58,0.126942,0.000063,0.254008
59,0.126942,0.000063,0.254008
60,0.126947,0.000068,0.254029
61,0.126947,0.000068,0.254029
62,0.126952,0.000073,0.254050
63,0.139452,0.000073,0.279050
64,0.139452,0.000073,0.279050
65,0.139660,0.000073,0.279467
66,0.139660,0.000073,0.279467
67,0.139660,0.000073,0.279467
68,0.139874,0.000078,0.279904
69,0.140083,0.000078,0.280321
70,0.140291,0.000078,0.280738
71,0.140500,0.000078,0.281156
72,0.165505,0.000083,0.331177
73,0.165510,0.000089,0.331198
74,0.165719,0.000089,0.331615
75,0.178219,0.000089,0.356615
76,0.178219,0.000089,0.356616
77,0.191141,0.000094,0.382470
78,0.203647,0.000099,0.407491
79,0.203652,0.000104,0.407512
80,0.203860,0.000104,0.407929
81,0.216788,0.000115,0.433805
82,0.229293,0.000120,0.458826
83,0.241793,0.000120,0.483826
84,0.266793,0.000120,0.533826
85,0.292007,0.000125,0.584264
86,0.292012,0.000130,0.584284
87,0.292226,0.000135,0.584722
88,0.304731,0.000141,0.609744
89,0.317242,0.000151,0.634786
90,0.329742,0.000151,0.659786
91,0.354950,0.000151,0.710203
92,0.367867,0.000151,0.736037
93,0.380581,0.000156,0.761474
94,0.393086,0.000161,0.786496
95,0.406222,0.000172,0.812788
96,0.406847,0.000172,0.814038
97,0.419556,0.000172,0.839455
98,0.444972,0.000172,0.890289
99,0.457478,0.000177,0.915310
100,0.457478,0.000177,0.915311
101,0.457900,0.000182,0.916165
102,0.470401,0.000182,0.941166
103,0.483109,0.000182,0.966582
104,0.483943,0.000182,0.968251
105,0.484782,0.000188,0.969938
106,0.497287,0.000193,0.994959
107,0.497297,0.000203,0.995001
108,0.497313,0.000219,0.995064
109,0.534814,0.000219,1.070065
110,0.547730,0.000219,1.095898
111,0.560230,0.000219,1.120898
112,0.560439,0.000219,1.121316
113,0.572940,0.000219,1.146317
114,0.597940,0.000219,1.196318
115,0.622940,0.000219,1.246318
116,0.622941,0.000219,1.246320
117,0.647957,0.000234,1.296383
118,0.673166,0.000234,1.346800
119,0.698379,0.000240,1.397238
120,0.698385,0.000245,1.397259
121,0.698385,0.000245,1.397260
122,0.698803,0.000245,1.398095
123,0.724230,0.000255,1.448970
124,0.736730,0.000255,1.473970
125,0.761741,0.000266,1.524012
126,0.774871,0.000271,1.550284
127,0.800710,0.000276,1.601972
128,0.801757,0.000281,1.604077
129,0.839674,0.000281,1.679911
130,0.840097,0.000286,1.680766
131,0.852602,0.000292,1.705787
132,0.853029,0.000302,1.706663
133,0.865946,0.000302,1.732496
134,0.878654,0.000302,1.757913
135,0.928665,0.000318,1.857966
136,0.928874,0.000318,1.858384
137,0.929504,0.000323,1.859655
138,0.942635,0.000328,1.885926
139,0.942640,0.000333,1.885947
140,0.980349,0.000333,1.961364
141,0.993063,0.000339,1.986803
142,0.993069,0.000344,1.986825
143,1.018277,0.000344,2.037242
144,1.044324,0.000354,2.089357
145,1.069757,0.000370,2.140254
146,1.069976,0.000380,2.140713
147,1.095398,0.000385,2.191567
148,1.095831,0.000401,2.192464
149,1.133539,0.000401,2.267881
150,1.183961,0.000411,2.368745
151,1.196883,0.000417,2.394599
152,1.222519,0.000427,2.445892
153,1.223353,0.000427,2.447559
154,1.248561,0.000427,2.497977
155,1.261270,0.000427,2.523394
156,1.261280,0.000438,2.523436
157,1.274208,0.000448,2.549311
158,1.299416,0.000448,2.599729
159,1.312750,0.000448,2.626395
160,1.313177,0.000458,2.627270
161,1.363183,0.000464,2.727292
162,1.388199,0.000484,2.777366
163,1.401126,0.000495,2.803242
164,1.401127,0.000495,2.803243
165,1.438840,0.000500,2.878680
166,1.464258,0.000500,2.929515
167,1.489674,0.000500,2.980349
168,1.502174,0.000500,3.005349
169,1.502180,0.000505,3.005370
170,1.514680,0.000505,3.030370
171,1.515732,0.000516,3.032495
172,1.553248,0.000531,3.107558
173,1.553873,0.000531,3.108808
174,1.579305,0.000547,3.159705
175,1.629514,0.000547,3.260121
176,1.667031,0.000563,3.335186
177,1.667250,0.000573,3.335646
178,1.679969,0.000583,3.361105
179,1.679975,0.000589,3.361127
180,1.692684,0.000589,3.386544
181,1.730397,0.000594,3.461982
182,1.780611,0.000599,3.562420
183,1.793528,0.000599,3.588254
184,1.806039,0.000609,3.613297
185,1.818967,0.000620,3.639173
186,1.831473,0.000625,3.664196
187,1.843973,0.000625,3.689196
188,1.869391,0.000625,3.740031
189,1.882110,0.000635,3.765491
190,1.894627,0.000651,3.790555
191,1.894841,0.000656,3.790994
192,1.907367,0.000687,3.816110
193,1.945498,0.000693,3.892381
194,1.945727,0.000714,3.892882
195,1.971353,0.000714,3.944133
196,1.984083,0.000734,3.969634
197,1.997011,0.000745,3.995511
198,2.022855,0.000755,4.047220
199,2.085986,0.000760,4.173492
200,2.111408,0.000766,4.224347
201,2.112466,0.000781,4.226494
202,2.125388,0.000786,4.252349
203,2.138108,0.000797,4.277809
204,2.163118,0.000807,4.327851
205,2.175842,0.000823,4.353331
206,2.188776,0.000839,4.379229
207,2.201277,0.000839,4.404231
208,2.201502,0.000854,4.404712
209,2.226502,0.013354,4.479712
210,2.251935,0.013370,4.530609
211,2.277149,0.013375,4.581047
212,2.277785,0.013385,4.582340
