#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.050000,0.050000
6,6.100000,0.100000
8,8.150000,0.150000
10,10.150000,0.150000
12,12.150000,0.150000
14,14.200000,0.200000
16,16.250000,0.250000
18,18.350000,0.350000
20,20.600000,0.600000
22,22.750000,0.750000
24,24.750000,0.750000
26,27.000000,1.000000
28,29.150000,1.150000
30,31.300000,1.300000
32,33.350000,1.350000
34,35.350000,1.350000
36,37.500000,1.500000
38,39.600000,1.600000
40,41.700000,1.700000
42,43.750000,1.750000
44,46.050000,2.050000
46,48.150000,2.150000
48,50.200000,2.200000
50,52.450000,2.450000
52,54.700000,2.700000
54,56.850000,2.850000
56,59.100000,3.100000
58,61.300000,3.300000
60,63.450000,3.450000
62,65.600000,3.600000
64,68.000000,4.000000
66,70.400000,4.400000
68,72.700000,4.700000
70,75.050000,5.050000
72,77.300000,5.300000
74,79.500000,5.500000
76,81.700000,5.700000
78,84.250000,6.250000
80,86.450000,6.450000
82,88.800000,6.800000
84,91.400000,7.400000
86,93.400000,7.400000
88,95.900000,7.900000
90,98.700000,8.700000
92,101.150000,9.150000
94,103.600000,9.600000
96,106.200000,10.200000
98,108.600000,10.600000
100,110.950000,10.950000
102,113.700000,11.700000
104,116.650000,12.650000
106,119.400000,13.400000
108,121.800000,13.800000
110,124.150000,14.150000
112,126.650000,14.650000
114,129.350000,15.350000
116,131.900000,15.900000
118,134.600000,16.600000
120,137.300000,17.300000
122,140.100000,18.100000
124,142.800000,18.800000
126,145.450000,19.450000
128,148.300000,20.300000
130,150.600000,20.600000
132,153.000000,21.000000
134,155.900000,21.900000
136,158.550000,22.550000
138,161.150000,23.150000
140,164.050000,24.050000
142,166.950000,24.950000
144,169.550000,25.550000
146,172.550000,26.550000
148,174.900000,26.900000
150,178.350000,28.350000
152,181.250000,29.250000
154,184.200000,30.200000
156,186.950000,30.950000
158,190.000000,32.000000
160,192.900000,32.900000
162,195.950000,33.950000
164,198.800000,34.800000
166,201.850000,35.850000
168,204.850000,36.850000
170,207.700000,37.700000
172,210.900000,38.900000
174,214.100000,40.100000
176,217.300000,41.300000
178,220.350000,42.350000
180,223.550000,43.550000
182,226.850000,44.850000
184,229.750000,45.750000
186,232.250000,46.250000
188,235.250000,47.250000
190,238.250000,48.250000
192,241.600000,49.600000
194,244.850000,50.850000
196,247.350000,51.350000
198,250.700000,52.700000
200,254.150000,54.150000
202,257.250000,55.250000
204,260.250000,56.250000
206,263.250000,57.250000
208,267.200000,59.200000
210,270.250000,60.250000
212,273.700000,61.700000
214,277.150000,63.150000
216,279.900000,63.900000
218,283.050000,65.050000
220,286.650000,66.650000
222,290.650000,68.650000
224,293.900000,69.900000
226,296.850000,70.850000
228,301.400000,73.400000
230,305.050000,75.050000
232,308.250000,76.250000
234,312.150000,78.150000
236,315.800000,79.800000
238,319.600000,81.600000
240,323.150000,83.150000
242,327.750000,85.750000
244,331.850000,87.850000
246,335.850000,89.850000
248,339.600000,91.600000
250,343.750000,93.750000
252,348.350000,96.350000
254,351.350000,97.350000
256,355.700000,99.700000
258,360.750000,102.750000
260,365.550000,105.550000
262,368.900000,106.900000
264,373.000000,109.000000
266,376.900000,110.900000
268,381.150000,113.150000
270,385.350000,115.350000
272,388.800000,116.800000
274,392.400000,118.400000
276,396.000000,120.000000
278,399.300000,121.300000
280,402.450000,122.450000
282,407.000000,125.000000
284,410.650000,126.650000
286,414.650000,128.650000
288,418.750000,130.750000
290,423.650000,133.650000
292,428.350000,136.350000
294,431.800000,137.800000
296,437.250000,141.250000
298,442.100000,144.100000
300,446.600000,146.600000
302,451.950000,149.950000
304,456.050000,152.050000
306,460.400000,154.400000
308,464.450000,156.450000
310,470.000000,160.000000
312,475.300000,163.300000
314,479.900000,165.900000
316,484.650000,168.650000
318,489.950000,171.950000
320,493.850000,173.850000
322,500.300000,178.300000
324,506.350000,182.350000
326,510.350000,184.350000
328,515.400000,187.400000
330,519.600000,189.600000
332,523.500000,191.500000
334,528.100000,194.100000
336,532.950000,196.950000
338,537.000000,199.000000
340,543.150000,203.150000
342,547.450000,205.450000
