#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000
26,0.000000,0.000000,0.000000
27,0.000000,0.000000,0.000000
28,0.000000,0.000000,0.000000
29,0.000000,0.000000,0.000000
30,0.000417,0.000417,0.001667
31,0.000417,0.000417,0.001667
32,0.033750,0.000417,0.068333
33,0.033771,0.000417,0.068375
34,0.033771,0.000417,0.068375
35,0.033771,0.000417,0.068375
36,0.033771,0.000417,0.068375
37,0.034188,0.000833,0.070042
38,0.034604,0.001250,0.071708
39,0.034604,0.001250,0.071708
40,0.035021,0.001667,0.073375
41,0.035021,0.001667,0.073375
42,0.035021,0.001667,0.073375
43,0.035437,0.002083,0.075042
44,0.035437,0.002083,0.075042
45,0.035854,0.002500,0.076708
46,0.035854,0.002500,0.076708
47,0.035854,0.002500,0.076708
48,0.035854,0.002500,0.076708
49,0.052521,0.002500,0.110042
50,0.052542,0.002500,0.110083
51,0.069208,0.002500,0.143417
52,0.069208,0.002500,0.143417
53,0.069208,0.002500,0.143417
54,0.069625,0.002917,0.145083
55,0.069646,0.002917,0.145125
56,0.069646,0.002917,0.145125
57,0.069646,0.002917,0.145125
58,0.069646,0.002917,0.145125
59,0.070062,0.003333,0.146792
60,0.070062,0.003333,0.146792
61,0.070500,0.003750,0.148500
62,0.070500,0.003750,0.148500
63,0.070500,0.003750,0.148500
64,0.070500,0.003750,0.148500
65,0.070500,0.003750,0.148500
66,0.071750,0.005000,0.153500
67,0.072167,0.005417,0.155167
68,0.072583,0.005833,0.156833
69,0.072583,0.005833,0.156833
70,0.072583,0.005833,0.156833
71,0.089667,0.006250,0.191833
72,0.090083,0.006667,0.193500
73,0.107583,0.007500,0.230167
74,0.108000,0.007917,0.231833
75,0.108000,0.007917,0.231833
76,0.108000,0.007917,0.231833
77,0.141333,0.007917,0.298500
78,0.174667,0.007917,0.365167
79,0.174667,0.007917,0.365167
80,0.174667,0.007917,0.365167
81,0.175083,0.008333,0.366833
82,0.175917,0.009167,0.370167
83,0.175917,0.009167,0.370167
84,0.175917,0.009167,0.370167
85,0.226750,0.010000,0.473500
86,0.226771,0.010000,0.473542
87,0.227208,0.010417,0.475250
88,0.227229,0.010417,0.475292
89,0.227271,0.010417,0.475375
90,0.227687,0.010833,0.477042
91,0.228125,0.011250,0.478750
92,0.228542,0.011667,0.480417
93,0.228563,0.011667,0.480458
94,0.245229,0.011667,0.513792
95,0.278562,0.011667,0.580458
96,0.279000,0.012083,0.582167
97,0.279417,0.012500,0.583833
98,0.296083,0.012500,0.617167
99,0.296500,0.012917,0.618833
100,0.313167,0.012917,0.652167
101,0.313229,0.012917,0.652292
102,0.329917,0.012917,0.685667
103,0.329917,0.012917,0.685667
104,0.347021,0.013333,0.720708
105,0.347479,0.013750,0.722458
106,0.347479,0.013750,0.722458
107,0.347896,0.014167,0.724125
108,0.365000,0.014583,0.759167
109,0.398333,0.014583,0.825833
110,0.398375,0.014583,0.825917
111,0.431729,0.014583,0.892625
112,0.465063,0.014583,0.959292
113,0.482563,0.015417,0.995958
114,0.499688,0.015833,1.031042
115,0.500104,0.016250,1.032708
116,0.500937,0.017083,1.036042
117,0.518021,0.017500,1.071042
118,0.534708,0.017500,1.104417
119,0.534708,0.017500,1.104417
120,0.568042,0.017500,1.171083
121,0.568458,0.017917,1.172750
122,0.568917,0.018333,1.174500
123,0.568917,0.018333,1.174500
124,0.569375,0.018750,1.176250
125,0.569375,0.018750,1.176250
126,0.569833,0.019167,1.178000
127,0.603187,0.019167,1.244708
128,0.603187,0.019167,1.244708
129,0.603625,0.019583,1.246417
130,0.620313,0.019583,1.279792
131,0.620729,0.020000,1.281458
132,0.622396,0.021667,1.288125
133,0.622417,0.021667,1.288167
134,0.672417,0.021667,1.388167
135,0.706167,0.022083,1.456500
136,0.739521,0.022083,1.523208
137,0.739958,0.022500,1.524917
138,0.757458,0.023333,1.561583
139,0.774542,0.023750,1.596583
140,0.774583,0.023750,1.596667
141,0.792104,0.024583,1.633375
142,0.792146,0.024583,1.633458
143,0.809250,0.025000,1.668500
144,0.809667,0.025417,1.670167
145,0.843000,0.025417,1.736833
146,0.876333,0.025417,1.803500
147,0.876750,0.025833,1.805167
148,0.893417,0.025833,1.838500
149,0.893417,0.025833,1.838500
150,0.893417,0.025833,1.838500
151,0.910104,0.025833,1.871875
152,0.910125,0.025833,1.871917
153,0.926813,0.025833,1.905292
154,0.960979,0.026667,1.975292
155,0.994312,0.026667,2.041958
156,0.994729,0.027083,2.043625
157,0.994729,0.027083,2.043625
158,0.995167,0.027500,2.045333
159,0.995167,0.027500,2.045333
160,1.011854,0.027500,2.078708
161,1.028979,0.027917,2.113792
162,1.045667,0.027917,2.147167
163,1.062354,0.027917,2.180542
164,1.062354,0.027917,2.180542
165,1.062354,0.027917,2.180542
166,1.062771,0.028333,2.182208
167,1.062812,0.028333,2.182292
168,1.096146,0.028333,2.248958
169,1.113229,0.028750,2.283958
170,1.114479,0.030000,2.288958
171,1.114479,0.030000,2.288958
172,1.164479,0.030000,2.388958
173,1.165312,0.030833,2.392292
174,1.166167,0.031667,2.395667
175,1.167000,0.032500,2.399000
176,1.183667,0.032500,2.432333
177,1.200375,0.032500,2.465750
178,1.217063,0.032500,2.499125
179,1.217917,0.033333,2.502500
180,1.217958,0.033333,2.502583
181,1.234625,0.033333,2.535917
182,1.268792,0.034583,2.606750
183,1.319229,0.035000,2.708458
184,1.319646,0.035417,2.710125
185,1.336729,0.035833,2.745125
186,1.337167,0.036250,2.746833
187,1.338021,0.037083,2.750208
188,1.338042,0.037083,2.750250
189,1.354729,0.037083,2.783625
190,1.355146,0.037500,2.785292
191,1.356000,0.038333,2.788667
192,1.372708,0.038333,2.822083
193,1.373167,0.038750,2.823833
194,1.406500,0.038750,2.890500
195,1.423208,0.038750,2.923917
196,1.441125,0.040000,2.962250
197,1.457812,0.040000,2.995625
198,1.475313,0.040833,3.032292
199,1.475333,0.040833,3.032333
200,1.492417,0.041250,3.067333
201,1.492417,0.041250,3.067333
202,1.492438,0.041250,3.067375
203,1.492896,0.041667,3.069125
204,1.509563,0.041667,3.102458
205,1.510042,0.042083,3.104250
206,1.527958,0.043333,3.142583
207,1.544646,0.043333,3.175958
208,1.545479,0.044167,3.179292
209,1.546333,0.045000,3.182667
210,1.546354,0.045000,3.182708
211,1.579687,0.045000,3.249375
212,1.580146,0.045417,3.251125
