# This is a CSV file containing the TPL, TPU, UF and Compression for the Union-Find data structure.
# The data was generated for n = 1000 and delta = 5 .
N,TPL,TPU,UF,Compression
5,5,0,QU,NC
10,10,0,QU,NC
15,15,0,QU,NC
20,20,0,QU,NC
25,25,0,QU,NC
30,30,0,QU,NC
35,35,0,QU,NC
40,41,0,QU,NC
45,46,0,QU,NC
50,51,0,QU,NC
55,56,0,QU,NC
60,61,0,QU,NC
65,67,0,QU,NC
70,73,0,QU,NC
75,78,0,QU,NC
80,83,0,QU,NC
85,92,0,QU,NC
90,98,0,QU,NC
95,103,0,QU,NC
100,110,0,QU,NC
105,115,0,QU,NC
110,122,0,QU,NC
115,127,0,QU,NC
120,135,0,QU,NC
125,142,0,QU,NC
130,148,0,QU,NC
135,154,0,QU,NC
140,160,0,QU,NC
145,165,0,QU,NC
150,176,0,QU,NC
155,182,0,QU,NC
160,192,0,QU,NC
165,199,0,QU,NC
170,209,0,QU,NC
175,222,0,QU,NC
180,231,0,QU,NC
185,244,0,QU,NC
190,249,0,QU,NC
195,254,0,QU,NC
200,266,0,QU,NC
205,271,0,QU,NC
210,280,0,QU,NC
215,290,0,QU,NC
220,296,0,QU,NC
225,305,0,QU,NC
230,312,0,QU,NC
235,321,0,QU,NC
240,327,0,QU,NC
245,333,0,QU,NC
250,340,0,QU,NC
255,348,0,QU,NC
260,361,0,QU,NC
265,370,0,QU,NC
270,376,0,QU,NC
275,383,0,QU,NC
280,388,0,QU,NC
285,400,0,QU,NC
290,413,0,QU,NC
295,425,0,QU,NC
300,430,0,QU,NC
305,438,0,QU,NC
310,444,0,QU,NC
315,455,0,QU,NC
320,476,0,QU,NC
325,488,0,QU,NC
330,496,0,QU,NC
335,505,0,QU,NC
340,513,0,QU,NC
345,543,0,QU,NC
350,558,0,QU,NC
355,593,0,QU,NC
360,602,0,QU,NC
365,610,0,QU,NC
370,621,0,QU,NC
375,652,0,QU,NC
380,701,0,QU,NC
385,710,0,QU,NC
390,718,0,QU,NC
395,728,0,QU,NC
400,734,0,QU,NC
405,747,0,QU,NC
410,761,0,QU,NC
415,770,0,QU,NC
420,829,0,QU,NC
425,886,0,QU,NC
430,901,0,QU,NC
435,919,0,QU,NC
440,932,0,QU,NC
445,945,0,QU,NC
450,963,0,QU,NC
455,979,0,QU,NC
460,995,0,QU,NC
465,1009,0,QU,NC
470,1026,0,QU,NC
475,1059,0,QU,NC
480,1097,0,QU,NC
485,1138,0,QU,NC
490,1145,0,QU,NC
495,1188,0,QU,NC
500,1264,0,QU,NC
505,1276,0,QU,NC
510,1340,0,QU,NC
515,1435,0,QU,NC
520,1465,0,QU,NC
525,1557,0,QU,NC
530,1630,0,QU,NC
535,1762,0,QU,NC
540,1862,0,QU,NC
545,2137,0,QU,NC
550,2179,0,QU,NC
555,2236,0,QU,NC
560,2246,0,QU,NC
565,2367,0,QU,NC
570,2502,0,QU,NC
575,2843,0,QU,NC
580,3700,0,QU,NC
585,3955,0,QU,NC
590,4463,0,QU,NC
595,4987,0,QU,NC
600,5259,0,QU,NC
605,5801,0,QU,NC
610,6115,0,QU,NC
615,6202,0,QU,NC
620,6216,0,QU,NC
625,6230,0,QU,NC
630,6321,0,QU,NC
635,6722,0,QU,NC
640,6735,0,QU,NC
645,6773,0,QU,NC
650,7227,0,QU,NC
655,8094,0,QU,NC
660,9446,0,QU,NC
665,10359,0,QU,NC
670,11310,0,QU,NC
675,11817,0,QU,NC
680,12315,0,QU,NC
685,13832,0,QU,NC
690,14858,0,QU,NC
695,15381,0,QU,NC
700,16418,0,QU,NC
705,16957,0,QU,NC
710,18578,0,QU,NC
715,19703,0,QU,NC
720,20833,0,QU,NC
725,23107,0,QU,NC
730,23678,0,QU,NC
735,24259,0,QU,NC
740,24272,0,QU,NC
745,24864,0,QU,NC
750,26666,0,QU,NC
755,28509,0,QU,NC
760,29764,0,QU,NC
765,31032,0,QU,NC
770,32309,0,QU,NC
775,32316,0,QU,NC
780,32975,0,QU,NC
785,34282,0,QU,NC
790,34287,0,QU,NC
795,34951,0,QU,NC
800,36279,0,QU,NC
805,36285,0,QU,NC
810,36958,0,QU,NC
815,36960,0,QU,NC
820,36964,0,QU,NC
825,39003,0,QU,NC
830,39007,0,QU,NC
835,39703,0,QU,NC
840,41782,0,QU,NC
845,41789,0,QU,NC
850,43899,0,QU,NC
855,44604,0,QU,NC
860,46744,0,QU,NC
865,48181,0,QU,NC
870,48188,0,QU,NC
875,50380,0,QU,NC
880,51115,0,QU,NC
885,51855,0,QU,NC
890,52596,0,QU,NC
895,54085,0,QU,NC
900,55598,0,QU,NC
905,56357,0,QU,NC
910,57119,0,QU,NC
915,57882,0,QU,NC
920,57882,0,QU,NC
925,57885,0,QU,NC
930,58657,0,QU,NC
935,58657,0,QU,NC
940,60202,0,QU,NC
945,60978,0,QU,NC
950,60979,0,QU,NC
955,62536,0,QU,NC
960,62536,0,QU,NC
965,63316,0,QU,NC
970,63317,0,QU,NC
975,64891,0,QU,NC
980,66470,0,QU,NC
985,68060,0,QU,NC
990,68863,0,QU,NC
995,69668,0,QU,NC
1000,70474,0,QU,NC
1005,70476,0,QU,NC
1010,71288,0,QU,NC
1015,71294,0,QU,NC
1020,71294,0,QU,NC
1025,72111,0,QU,NC
1030,72942,0,QU,NC
1035,74599,0,QU,NC
1040,75429,0,QU,NC
1045,76264,0,QU,NC
1050,76264,0,QU,NC
1055,77101,0,QU,NC
1060,77102,0,QU,NC
1065,77944,0,QU,NC
