#This is a CSV file containing the average TPL, TPU, and Cost values for the UR algorithm with FC path compression.
#The data was generated for n = 1000 and delta = 1.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.050000,0.050000,0.200000
5,0.100000,0.100000,0.400000
6,0.100000,0.100000,0.400000
7,0.150000,0.150000,0.600000
8,0.150000,0.150000,0.600000
9,0.150000,0.150000,0.600000
10,0.150000,0.150000,0.600000
11,0.150000,0.150000,0.600000
12,0.150000,0.150000,0.600000
13,0.150000,0.150000,0.600000
14,0.250000,0.250000,1.000000
15,0.250000,0.250000,1.000000
16,0.300000,0.300000,1.200000
17,0.400000,0.400000,1.600000
18,0.400000,0.400000,1.600000
19,0.400000,0.400000,1.600000
20,0.550000,0.550000,2.200000
21,0.600000,0.600000,2.400000
22,0.650000,0.650000,2.600000
23,0.650000,0.650000,2.600000
24,0.650000,0.650000,2.600000
25,0.750000,0.750000,3.000000
26,0.900000,0.900000,3.600000
27,0.900000,0.900000,3.600000
28,0.950000,0.950000,3.800000
29,1.000000,1.000000,4.000000
30,1.050000,1.050000,4.200000
31,1.100000,1.100000,4.400000
32,1.150000,1.150000,4.600000
33,1.150000,1.150000,4.600000
34,1.150000,1.150000,4.600000
35,1.150000,1.150000,4.600000
36,1.250000,1.250000,5.000000
37,1.250000,1.250000,5.000000
38,1.300000,1.300000,5.200000
39,1.350000,1.350000,5.400000
40,1.500000,1.500000,6.000000
41,1.550000,1.550000,6.200000
42,1.600000,1.600000,6.400000
43,1.800000,1.800000,7.200000
44,1.950000,1.950000,7.800000
45,2.000000,2.000000,8.000000
46,2.050000,2.050000,8.200000
47,2.100000,2.100000,8.400000
48,2.150000,2.150000,8.600000
49,2.250000,2.250000,9.000000
50,2.400000,2.400000,9.600000
51,2.450000,2.450000,9.800000
52,2.550000,2.550000,10.200000
53,2.650000,2.650000,10.600000
54,2.750000,2.750000,11.000000
55,2.850000,2.850000,11.400000
56,3.000000,3.000000,12.000000
57,3.000000,3.000000,12.000000
58,3.150000,3.150000,12.600000
59,3.200000,3.200000,12.800000
60,3.300000,3.300000,13.200000
61,3.450000,3.500000,13.900000
62,3.500000,3.600000,14.200000
63,3.700000,3.800000,15.000000
64,3.950000,4.100000,16.100000
65,4.200000,4.400000,17.200000
66,4.300000,4.500000,17.600000
67,4.400000,4.600000,18.000000
68,4.500000,4.750000,18.500000
69,4.550000,4.800000,18.700000
70,4.750000,5.000000,19.500000
71,5.000000,5.250000,20.500000
72,5.000000,5.250000,20.500000
73,5.200000,5.450000,21.300000
74,5.200000,5.450000,21.300000
75,5.350000,5.600000,21.900000
76,5.450000,5.700000,22.300000
77,5.550000,5.850000,22.800000
78,5.800000,6.100000,23.800000
79,6.000000,6.300000,24.600000
80,6.050000,6.350000,24.800000
81,6.200000,6.550000,25.500000
82,6.250000,6.600000,25.700000
83,6.300000,6.650000,25.900000
84,6.500000,6.900000,26.800000
85,6.600000,7.000000,27.200000
86,6.650000,7.150000,27.600000
87,6.800000,7.300000,28.200000
88,6.850000,7.350000,28.400000
89,7.150000,7.650000,29.600000
90,7.450000,8.050000,31.000000
91,7.750000,8.350000,32.200000
92,7.900000,8.550000,32.900000
93,8.100000,8.750000,33.700000
94,8.250000,8.950000,34.400000
95,8.450000,9.150000,35.200000
96,8.700000,9.400000,36.200000
97,8.900000,9.600000,37.000000
98,9.000000,9.700000,37.400000
99,9.250000,9.950000,38.400000
100,9.350000,10.100000,38.900000
101,9.600000,10.400000,40.000000
102,9.800000,10.650000,40.900000
103,10.050000,11.000000,42.100000
104,10.400000,11.400000,43.600000
105,10.700000,11.700000,44.800000
106,11.100000,12.150000,46.500000
107,11.400000,12.550000,47.900000
108,11.450000,12.600000,48.100000
109,11.600000,12.750000,48.700000
110,11.750000,12.950000,49.400000
111,12.050000,13.300000,50.700000
112,12.350000,13.600000,51.900000
113,12.700000,14.050000,53.500000
114,13.000000,14.350000,54.700000
115,13.150000,14.550000,55.400000
116,13.350000,14.750000,56.200000
117,13.700000,15.100000,57.600000
118,13.950000,15.350000,58.600000
119,14.300000,15.700000,60.000000
120,14.650000,16.100000,61.500000
121,15.000000,16.550000,63.100000
122,15.300000,16.850000,64.300000
123,15.350000,16.900000,64.500000
124,15.550000,17.150000,65.400000
125,15.750000,17.400000,66.300000
126,16.000000,17.650000,67.300000
127,16.250000,18.000000,68.500000
128,16.550000,18.300000,69.700000
129,16.750000,18.500000,70.500000
130,16.900000,18.650000,71.100000
131,17.200000,18.950000,72.300000
132,17.350000,19.150000,73.000000
133,17.700000,19.550000,74.500000
134,18.150000,20.100000,76.500000
135,18.250000,20.250000,77.000000
136,18.400000,20.450000,77.700000
137,18.500000,20.600000,78.200000
138,18.850000,21.000000,79.700000
139,19.150000,21.350000,81.000000
140,19.500000,21.800000,82.600000
141,19.650000,22.050000,83.400000
142,19.950000,22.450000,84.800000
143,20.200000,22.750000,85.900000
144,20.350000,22.900000,86.500000
145,20.600000,23.150000,87.500000
146,20.900000,23.450000,88.700000
147,21.300000,23.900000,90.400000
148,21.400000,24.000000,90.800000
149,21.700000,24.300000,92.000000
150,22.350000,25.000000,94.700000
151,22.700000,25.350000,96.100000
152,23.000000,25.650000,97.300000
153,23.350000,26.050000,98.800000
154,23.800000,26.700000,101.000000
155,24.050000,27.000000,102.100000
156,24.400000,27.400000,103.600000
157,24.700000,27.700000,104.800000
158,25.050000,28.100000,106.300000
159,25.400000,28.500000,107.800000
160,25.800000,29.050000,109.700000
161,26.300000,29.550000,111.700000
162,26.800000,30.200000,114.000000
163,27.100000,30.550000,115.300000
164,27.350000,30.800000,116.300000
165,27.750000,31.400000,118.300000
166,28.400000,32.150000,121.100000
167,28.750000,32.550000,122.600000
168,29.000000,32.800000,123.600000
169,29.300000,33.150000,124.900000
170,29.700000,33.600000,126.600000
171,29.950000,33.900000,127.700000
172,30.450000,34.500000,129.900000
173,30.950000,35.050000,132.000000
174,31.250000,35.450000,133.400000
175,31.450000,35.700000,134.300000
176,32.000000,36.350000,136.700000
177,32.450000,36.850000,138.600000
178,32.800000,37.350000,140.300000
179,33.350000,38.000000,142.700000
180,33.550000,38.250000,143.600000
181,33.950000,38.850000,145.600000
182,34.500000,39.450000,147.900000
183,34.750000,39.700000,148.900000
184,35.200000,40.350000,151.100000
185,35.550000,40.800000,152.700000
186,35.900000,41.150000,154.100000
187,36.250000,41.650000,155.800000
188,36.500000,41.950000,156.900000
189,36.900000,42.350000,158.500000
190,37.100000,42.550000,159.300000
191,37.700000,43.250000,161.900000
192,38.300000,44.000000,164.600000
193,38.700000,44.450000,166.300000
194,39.200000,44.950000,168.300000
195,39.350000,45.150000,169.000000
196,39.700000,45.550000,170.500000
197,40.050000,46.100000,172.300000
198,40.550000,46.700000,174.500000
199,41.000000,47.300000,176.600000
200,41.350000,47.650000,178.000000
201,41.650000,48.000000,179.300000
202,41.950000,48.300000,180.500000
203,42.250000,48.650000,181.800000
204,42.600000,49.200000,183.600000
205,43.000000,49.700000,185.400000
206,43.450000,50.250000,187.400000
207,44.000000,51.000000,190.000000
208,44.400000,51.500000,191.800000
209,44.500000,51.650000,192.300000
210,44.950000,52.100000,194.100000
211,45.400000,52.900000,196.600000
