#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000
23,0.050000,0.050000,0.200000
24,0.050000,0.050000,0.200000
25,0.050000,0.050000,0.200000
26,0.100000,0.100000,0.400000
27,0.100000,0.100000,0.400000
28,0.100000,0.100000,0.400000
29,0.100000,0.100000,0.400000
30,0.100000,0.100000,0.400000
31,0.150000,0.150000,0.600000
32,0.200000,0.200000,0.800000
33,0.200000,0.200000,0.800000
34,0.200000,0.200000,0.800000
35,0.200000,0.200000,0.800000
36,0.200000,0.200000,0.800000
37,0.250000,0.250000,1.000000
38,0.300000,0.300000,1.200000
39,0.300000,0.300000,1.200000
40,0.300000,0.300000,1.200000
41,0.300000,0.300000,1.200000
42,0.350000,0.350000,1.400000
43,0.350000,0.350000,1.400000
44,0.350000,0.350000,1.400000
45,0.450000,0.450000,1.800000
46,0.450000,0.450000,1.800000
47,0.550000,0.550000,2.200000
48,0.600000,0.600000,2.400000
49,0.600000,0.600000,2.400000
50,0.600000,0.600000,2.400000
51,0.600000,0.600000,2.400000
52,0.650000,0.650000,2.600000
53,0.650000,0.650000,2.600000
54,0.650000,0.650000,2.600000
55,0.650000,0.650000,2.600000
56,0.700000,0.700000,2.800000
57,0.700000,0.700000,2.800000
58,0.700000,0.700000,2.800000
59,0.700000,0.700000,2.800000
60,0.700000,0.700000,2.800000
61,0.700000,0.700000,2.800000
62,0.700000,0.700000,2.800000
63,0.700000,0.700000,2.800000
64,0.700000,0.700000,2.800000
65,0.750000,0.750000,3.000000
66,0.750000,0.750000,3.000000
67,0.750000,0.750000,3.000000
68,0.750000,0.750000,3.000000
69,0.750000,0.750000,3.000000
70,0.750000,0.750000,3.000000
71,0.750000,0.750000,3.000000
72,0.750000,0.750000,3.000000
73,0.750000,0.750000,3.000000
74,0.850000,0.850000,3.400000
75,0.850000,0.850000,3.400000
76,0.900000,0.900000,3.600000
77,0.900000,0.900000,3.600000
78,0.900000,0.900000,3.600000
79,0.900000,0.900000,3.600000
80,0.900000,0.900000,3.600000
81,0.900000,0.900000,3.600000
82,0.950000,0.950000,3.800000
83,0.950000,0.950000,3.800000
84,0.950000,0.950000,3.800000
85,1.000000,1.000000,4.000000
86,1.050000,1.050000,4.200000
87,1.050000,1.050000,4.200000
88,1.050000,1.050000,4.200000
89,1.100000,1.100000,4.400000
90,1.100000,1.100000,4.400000
91,1.150000,1.150000,4.600000
92,1.200000,1.200000,4.800000
93,1.200000,1.200000,4.800000
94,1.250000,1.250000,5.000000
95,1.250000,1.250000,5.000000
96,1.250000,1.250000,5.000000
97,1.400000,1.400000,5.600000
98,1.450000,1.450000,5.800000
99,1.450000,1.450000,5.800000
100,1.450000,1.450000,5.800000
101,1.450000,1.450000,5.800000
102,1.500000,1.500000,6.000000
103,1.500000,1.500000,6.000000
104,1.550000,1.550000,6.200000
105,1.600000,1.600000,6.400000
106,1.650000,1.650000,6.600000
107,1.650000,1.650000,6.600000
108,1.650000,1.650000,6.600000
109,1.700000,1.700000,6.800000
110,1.700000,1.700000,6.800000
111,1.700000,1.700000,6.800000
112,1.750000,1.750000,7.000000
113,1.750000,1.750000,7.000000
114,1.750000,1.750000,7.000000
115,1.750000,1.750000,7.000000
116,1.750000,1.750000,7.000000
117,1.750000,1.750000,7.000000
118,1.800000,1.800000,7.200000
119,1.800000,1.800000,7.200000
120,1.850000,1.850000,7.400000
121,1.850000,1.850000,7.400000
122,1.850000,1.850000,7.400000
123,1.850000,1.850000,7.400000
124,1.850000,1.850000,7.400000
125,1.900000,1.900000,7.600000
126,1.900000,1.900000,7.600000
127,1.950000,1.950000,7.800000
128,1.950000,1.950000,7.800000
129,2.000000,2.000000,8.000000
130,2.000000,2.000000,8.000000
131,2.000000,2.000000,8.000000
132,2.000000,2.000000,8.000000
133,2.000000,2.000000,8.000000
134,2.000000,2.000000,8.000000
135,2.050000,2.050000,8.200000
136,2.050000,2.050000,8.200000
137,2.050000,2.050000,8.200000
138,2.200000,2.200000,8.800000
139,2.200000,2.200000,8.800000
140,2.300000,2.300000,9.200000
141,2.300000,2.300000,9.200000
142,2.300000,2.300000,9.200000
143,2.400000,2.400000,9.600000
144,2.450000,2.450000,9.800000
145,2.550000,2.550000,10.200000
146,2.600000,2.600000,10.400000
147,2.600000,2.600000,10.400000
148,2.600000,2.600000,10.400000
149,2.600000,2.600000,10.400000
150,2.600000,2.600000,10.400000
151,2.600000,2.600000,10.400000
152,2.750000,2.750000,11.000000
153,2.850000,2.850000,11.400000
154,3.000000,3.000000,12.000000
155,3.050000,3.050000,12.200000
156,3.100000,3.100000,12.400000
157,3.150000,3.150000,12.600000
158,3.150000,3.150000,12.600000
159,3.150000,3.150000,12.600000
160,3.200000,3.200000,12.800000
161,3.300000,3.300000,13.200000
162,3.350000,3.350000,13.400000
163,3.500000,3.500000,14.000000
164,3.550000,3.550000,14.200000
165,3.550000,3.550000,14.200000
166,3.600000,3.600000,14.400000
167,3.600000,3.600000,14.400000
168,3.600000,3.600000,14.400000
169,3.750000,3.750000,15.000000
170,3.800000,3.800000,15.200000
171,3.850000,3.850000,15.400000
172,3.850000,3.850000,15.400000
173,3.850000,3.850000,15.400000
174,3.850000,3.850000,15.400000
175,3.950000,3.950000,15.800000
176,3.950000,3.950000,15.800000
177,4.000000,4.000000,16.000000
178,4.050000,4.100000,16.300000
179,4.100000,4.150000,16.500000
180,4.100000,4.150000,16.500000
181,4.100000,4.150000,16.500000
182,4.100000,4.150000,16.500000
183,4.250000,4.300000,17.100000
184,4.250000,4.300000,17.100000
185,4.250000,4.300000,17.100000
186,4.250000,4.300000,17.100000
187,4.400000,4.450000,17.700000
188,4.400000,4.450000,17.700000
189,4.400000,4.450000,17.700000
190,4.400000,4.450000,17.700000
191,4.450000,4.500000,17.900000
192,4.500000,4.550000,18.100000
193,4.500000,4.550000,18.100000
194,4.600000,4.650000,18.500000
195,4.700000,4.750000,18.900000
196,4.700000,4.750000,18.900000
197,4.750000,4.800000,19.100000
198,4.750000,4.800000,19.100000
199,4.850000,4.900000,19.500000
200,4.900000,4.950000,19.700000
201,4.950000,5.000000,19.900000
202,5.000000,5.050000,20.100000
203,5.050000,5.100000,20.300000
204,5.050000,5.100000,20.300000
205,5.050000,5.100000,20.300000
206,5.050000,5.100000,20.300000
207,5.050000,5.100000,20.300000
208,5.050000,5.100000,20.300000
209,5.100000,5.150000,20.500000
210,5.200000,5.250000,20.900000
211,5.200000,5.250000,20.900000
212,5.200000,5.250000,20.900000
