#This is a CSV file containing the average TPL, TPU, and Cost values for the UR algorithm with NC path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.000000,0.000000
6,6.000000,0.000000
8,8.000000,0.000000
10,10.000000,0.000000
12,12.000000,0.000000
14,14.000000,0.000000
16,16.000000,0.000000
18,18.000000,0.000000
20,20.000000,0.000000
22,22.000000,0.000000
24,24.000000,0.000000
26,26.050000,0.000000
28,28.050000,0.000000
30,30.050000,0.000000
32,32.050000,0.000000
34,34.050000,0.000000
36,36.100000,0.000000
38,38.100000,0.000000
40,40.100000,0.000000
42,42.100000,0.000000
44,44.150000,0.000000
46,46.150000,0.000000
48,48.150000,0.000000
50,50.200000,0.000000
52,52.200000,0.000000
54,54.200000,0.000000
56,56.200000,0.000000
58,58.200000,0.000000
60,60.200000,0.000000
62,62.250000,0.000000
64,64.400000,0.000000
66,66.450000,0.000000
68,68.500000,0.000000
70,70.500000,0.000000
72,72.550000,0.000000
74,74.550000,0.000000
76,76.550000,0.000000
78,78.600000,0.000000
80,80.600000,0.000000
82,82.650000,0.000000
84,84.750000,0.000000
86,86.750000,0.000000
88,88.850000,0.000000
90,90.900000,0.000000
92,92.900000,0.000000
94,94.900000,0.000000
96,97.050000,0.000000
98,99.050000,0.000000
100,101.050000,0.000000
102,103.050000,0.000000
104,105.200000,0.000000
106,107.300000,0.000000
108,109.400000,0.000000
110,111.400000,0.000000
112,113.500000,0.000000
114,115.600000,0.000000
116,117.800000,0.000000
118,119.950000,0.000000
120,122.150000,0.000000
122,124.250000,0.000000
124,126.450000,0.000000
126,128.550000,0.000000
128,130.650000,0.000000
130,132.700000,0.000000
132,134.800000,0.000000
134,136.950000,0.000000
136,139.000000,0.000000
138,141.200000,0.000000
140,143.300000,0.000000
142,145.350000,0.000000
144,147.500000,0.000000
146,149.550000,0.000000
148,151.750000,0.000000
150,154.300000,0.000000
152,156.700000,0.000000
154,158.900000,0.000000
156,161.050000,0.000000
158,163.300000,0.000000
160,165.500000,0.000000
162,167.750000,0.000000
164,170.000000,0.000000
166,172.250000,0.000000
168,174.650000,0.000000
170,176.850000,0.000000
172,179.150000,0.000000
174,181.500000,0.000000
176,183.600000,0.000000
178,185.850000,0.000000
180,188.150000,0.000000
182,190.400000,0.000000
184,192.900000,0.000000
186,195.200000,0.000000
188,197.350000,0.000000
190,199.550000,0.000000
192,202.200000,0.000000
194,204.550000,0.000000
196,206.550000,0.000000
198,209.150000,0.000000
200,211.400000,0.000000
202,213.850000,0.000000
204,216.050000,0.000000
206,218.300000,0.000000
208,220.750000,0.000000
210,223.250000,0.000000
212,225.500000,0.000000
214,228.050000,0.000000
216,230.550000,0.000000
218,232.950000,0.000000
220,235.450000,0.000000
222,238.400000,0.000000
224,240.900000,0.000000
226,243.000000,0.000000
228,245.700000,0.000000
230,248.400000,0.000000
232,250.650000,0.000000
234,253.200000,0.000000
236,255.400000,0.000000
238,257.750000,0.000000
240,260.150000,0.000000
242,263.200000,0.000000
244,265.400000,0.000000
246,267.850000,0.000000
248,270.550000,0.000000
250,273.400000,0.000000
252,276.150000,0.000000
254,278.450000,0.000000
256,281.200000,0.000000
258,283.850000,0.000000
260,287.150000,0.000000
262,289.700000,0.000000
264,292.200000,0.000000
266,294.900000,0.000000
268,297.450000,0.000000
270,299.800000,0.000000
272,302.750000,0.000000
274,305.700000,0.000000
276,308.350000,0.000000
278,310.900000,0.000000
280,313.550000,0.000000
282,316.450000,0.000000
284,319.150000,0.000000
286,321.600000,0.000000
288,324.300000,0.000000
290,326.850000,0.000000
292,329.350000,0.000000
294,332.300000,0.000000
296,335.850000,0.000000
298,339.200000,0.000000
300,341.550000,0.000000
302,344.650000,0.000000
304,347.300000,0.000000
306,350.100000,0.000000
308,352.500000,0.000000
310,355.200000,0.000000
312,358.000000,0.000000
314,360.400000,0.000000
316,364.550000,0.000000
318,367.500000,0.000000
320,370.850000,0.000000
322,373.500000,0.000000
324,376.050000,0.000000
326,378.850000,0.000000
328,381.300000,0.000000
330,383.850000,0.000000
332,387.000000,0.000000
334,390.500000,0.000000
336,393.350000,0.000000
338,395.850000,0.000000
340,398.600000,0.000000
342,401.300000,0.000000
344,404.200000,0.000000
346,407.600000,0.000000
348,410.300000,0.000000
350,413.700000,0.000000
352,417.000000,0.000000
354,419.800000,0.000000
356,422.750000,0.000000
358,425.200000,0.000000
360,429.300000,0.000000
362,433.050000,0.000000
364,436.550000,0.000000
366,439.050000,0.000000
368,441.800000,0.000000
370,445.650000,0.000000
372,449.600000,0.000000
374,453.150000,0.000000
376,455.850000,0.000000
378,460.450000,0.000000
380,463.850000,0.000000
382,466.700000,0.000000
384,471.300000,0.000000
386,474.700000,0.000000
388,479.350000,0.000000
390,482.550000,0.000000
392,487.200000,0.000000
394,490.300000,0.000000
396,495.150000,0.000000
398,499.150000,0.000000
400,503.450000,0.000000
402,506.750000,0.000000
404,511.450000,0.000000
406,515.300000,0.000000
408,519.200000,0.000000
410,522.350000,0.000000
412,526.500000,0.000000
414,530.550000,0.000000
416,534.450000,0.000000
418,538.600000,0.000000
420,542.650000,0.000000
422,546.950000,0.000000
424,551.250000,0.000000
426,555.600000,0.000000
428,559.200000,0.000000
430,564.850000,0.000000
432,568.100000,0.000000
434,571.750000,0.000000
436,574.800000,0.000000
438,579.900000,0.000000
440,586.200000,0.000000
442,590.450000,0.000000
444,593.700000,0.000000
446,598.000000,0.000000
448,605.850000,0.000000
450,609.350000,0.000000
452,613.400000,0.000000
454,619.600000,0.000000
456,625.000000,0.000000
458,629.200000,0.000000
460,634.700000,0.000000
462,637.850000,0.000000
464,643.650000,0.000000
466,647.200000,0.000000
468,652.050000,0.000000
470,660.100000,0.000000
472,663.800000,0.000000
474,667.300000,0.000000
476,672.900000,0.000000
478,677.600000,0.000000
480,681.400000,0.000000
482,690.000000,0.000000
484,695.000000,0.000000
486,698.500000,0.000000
488,706.750000,0.000000
490,719.150000,0.000000
492,725.850000,0.000000
494,735.650000,0.000000
496,740.600000,0.000000
498,746.350000,0.000000
500,755.450000,0.000000
502,764.200000,0.000000
504,774.850000,0.000000
506,783.150000,0.000000
508,788.300000,0.000000
510,795.600000,0.000000
512,807.450000,0.000000
514,820.500000,0.000000
516,846.850000,0.000000
518,854.450000,0.000000
520,861.050000,0.000000
522,866.300000,0.000000
524,870.800000,0.000000
526,886.250000,0.000000
528,900.350000,0.000000
530,905.050000,0.000000
532,912.050000,0.000000
534,932.600000,0.000000
536,935.750000,0.000000
538,939.750000,0.000000
540,954.050000,0.000000
542,970.900000,0.000000
544,998.850000,0.000000
546,1034.450000,0.000000
548,1047.550000,0.000000
550,1060.700000,0.000000
552,1065.700000,0.000000
554,1088.650000,0.000000
556,1105.850000,0.000000
558,1162.000000,0.000000
560,1221.100000,0.000000
562,1261.000000,0.000000
564,1297.650000,0.000000
566,1337.500000,0.000000
568,1371.100000,0.000000
570,1418.650000,0.000000
572,1435.400000,0.000000
574,1455.500000,0.000000
576,1474.700000,0.000000
578,1497.350000,0.000000
580,1550.900000,0.000000
582,1590.350000,0.000000
584,1605.250000,0.000000
586,1653.300000,0.000000
588,1682.250000,0.000000
590,1811.850000,0.000000
592,1890.100000,0.000000
594,1897.100000,0.000000
596,1991.700000,0.000000
598,2029.800000,0.000000
600,2122.700000,0.000000
602,2194.700000,0.000000
604,2259.250000,0.000000
606,2317.400000,0.000000
608,2400.950000,0.000000
610,2482.450000,0.000000
612,2573.750000,0.000000
614,2673.400000,0.000000
616,2812.600000,0.000000
