#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.010000,0.000000,0.020000
14,0.010000,0.000000,0.020000
15,0.020000,0.000000,0.040000
16,0.020000,0.000000,0.040000
17,0.020125,0.000000,0.040250
18,0.020125,0.000000,0.040250
19,0.020125,0.000000,0.040250
20,0.020125,0.000000,0.040250
21,0.020250,0.000000,0.040500
22,0.020250,0.000000,0.040500
23,0.020250,0.000000,0.040500
24,0.020250,0.000000,0.040500
25,0.020250,0.000000,0.040500
26,0.030250,0.000000,0.060500
27,0.030250,0.000000,0.060500
28,0.040250,0.000000,0.080500
29,0.040250,0.000000,0.080500
30,0.040250,0.000000,0.080500
31,0.040250,0.000000,0.080500
32,0.040254,0.000000,0.080509
33,0.040379,0.000000,0.080759
34,0.040379,0.000000,0.080759
35,0.040379,0.000000,0.080759
36,0.040379,0.000000,0.080759
37,0.040379,0.000000,0.080759
38,0.060379,0.000000,0.120759
39,0.070379,0.000000,0.140759
40,0.070379,0.000000,0.140759
41,0.070379,0.000000,0.140759
42,0.070379,0.000000,0.140759
43,0.070379,0.000000,0.140759
44,0.080379,0.000000,0.160759
45,0.080379,0.000000,0.160760
46,0.080504,0.000000,0.161010
47,0.080504,0.000000,0.161010
48,0.080504,0.000000,0.161010
49,0.080632,0.000000,0.161264
50,0.080632,0.000000,0.161264
51,0.080759,0.000000,0.161518
52,0.090759,0.000000,0.181518
53,0.090759,0.000000,0.181518
54,0.090759,0.000000,0.181518
55,0.090759,0.000000,0.181518
56,0.090884,0.000000,0.181768
57,0.120884,0.000000,0.241768
58,0.120884,0.000000,0.241768
59,0.120884,0.000000,0.241768
60,0.121009,0.000000,0.242018
61,0.121009,0.000000,0.242019
62,0.121009,0.000000,0.242019
63,0.131009,0.000000,0.262019
64,0.131009,0.000000,0.262019
65,0.141009,0.000000,0.282019
66,0.141009,0.000001,0.282019
67,0.141134,0.000001,0.282269
68,0.141259,0.000001,0.282520
69,0.161259,0.000001,0.322520
70,0.171259,0.000001,0.342520
71,0.171261,0.000001,0.342524
72,0.171511,0.000001,0.343024
73,0.171513,0.000001,0.343029
74,0.171514,0.000001,0.343029
75,0.171514,0.000001,0.343029
76,0.171514,0.000001,0.343029
77,0.171518,0.000001,0.343037
78,0.171522,0.000001,0.343046
79,0.181522,0.000001,0.363046
80,0.191522,0.000001,0.383046
81,0.191522,0.000001,0.383046
82,0.201647,0.000001,0.403296
83,0.201647,0.000001,0.403296
84,0.201772,0.000001,0.403546
85,0.211778,0.000001,0.423559
86,0.231778,0.000001,0.463559
87,0.231903,0.000001,0.463809
88,0.231903,0.000001,0.463809
89,0.231903,0.000001,0.463809
90,0.231903,0.000001,0.463810
91,0.232029,0.000001,0.464060
92,0.232154,0.000001,0.464310
93,0.232154,0.000001,0.464310
94,0.232156,0.000001,0.464314
95,0.232160,0.000001,0.464323
96,0.242160,0.000002,0.484323
97,0.252160,0.000002,0.504323
98,0.252162,0.000002,0.504327
99,0.252287,0.000002,0.504577
100,0.252289,0.000002,0.504582
101,0.252289,0.000002,0.504582
102,0.252416,0.000002,0.504836
103,0.262541,0.000002,0.525086
104,0.262543,0.000002,0.525090
105,0.262543,0.000002,0.525090
106,0.262543,0.000002,0.525090
107,0.262543,0.000002,0.525091
108,0.272546,0.000002,0.545095
109,0.272675,0.000002,0.545353
110,0.272675,0.000002,0.545353
111,0.282679,0.000002,0.565362
112,0.302808,0.000002,0.605620
113,0.302935,0.000002,0.605874
114,0.313062,0.000002,0.626129
115,0.313188,0.000002,0.626379
116,0.333188,0.000002,0.666380
117,0.343190,0.000002,0.686384
118,0.353317,0.000002,0.706638
119,0.353317,0.000002,0.706638
120,0.363321,0.000002,0.726646
121,0.363446,0.000002,0.726897
122,0.373571,0.000002,0.747147
123,0.373821,0.000002,0.747647
124,0.393821,0.000002,0.787647
125,0.403821,0.000002,0.807647
126,0.413821,0.000002,0.827647
127,0.413825,0.000002,0.827656
128,0.423825,0.000002,0.847656
129,0.423825,0.000002,0.847656
130,0.423953,0.000002,0.847910
131,0.434078,0.000003,0.868160
132,0.454078,0.000003,0.908161
133,0.464078,0.000003,0.928161
134,0.474084,0.000003,0.948174
135,0.484338,0.000003,0.968682
136,0.484342,0.000003,0.968690
137,0.504342,0.000003,1.008691
138,0.504345,0.000003,1.008695
139,0.524472,0.000003,1.048950
140,0.524472,0.000003,1.048950
141,0.524724,0.000003,1.049454
142,0.524724,0.000003,1.049454
143,0.534726,0.000003,1.069459
144,0.544851,0.000003,1.089709
145,0.554855,0.000003,1.109717
146,0.554985,0.000003,1.109975
147,0.574985,0.000003,1.149976
148,0.594987,0.000003,1.189980
149,0.604987,0.000003,1.209980
150,0.604987,0.000003,1.209980
151,0.604989,0.000003,1.209984
152,0.605114,0.000003,1.210234
153,0.615241,0.000003,1.230488
154,0.615495,0.000003,1.230997
155,0.615499,0.000003,1.231005
156,0.625499,0.000003,1.251005
157,0.635624,0.000003,1.271255
158,0.635749,0.000003,1.271506
159,0.645874,0.000003,1.291756
160,0.656126,0.000003,1.312260
161,0.666129,0.000003,1.332264
162,0.666131,0.000003,1.332268
163,0.686133,0.000003,1.372273
164,0.696258,0.000003,1.392523
165,0.706383,0.000003,1.412773
166,0.726383,0.000004,1.452773
167,0.746383,0.000004,1.492773
168,0.746387,0.000004,1.492781
169,0.756389,0.000004,1.512785
170,0.756389,0.000004,1.512786
171,0.756514,0.000004,1.513036
172,0.766521,0.000004,1.533049
173,0.776521,0.000004,1.553049
174,0.786521,0.000004,1.573049
175,0.786646,0.000004,1.573300
176,0.797023,0.000004,1.594054
177,0.797275,0.000004,1.594558
178,0.807527,0.000004,1.615062
179,0.817527,0.000004,1.635063
180,0.827652,0.000004,1.655313
181,0.837654,0.000004,1.675317
182,0.857659,0.000004,1.715326
183,0.857790,0.000004,1.715589
184,0.867790,0.000004,1.735589
185,0.877792,0.000004,1.755593
186,0.877917,0.000005,1.755843
187,0.878167,0.000005,1.756344
188,0.878167,0.000005,1.756344
189,0.878169,0.000005,1.756348
190,0.898169,0.000005,1.796348
191,0.898295,0.000005,1.796599
192,0.908422,0.000005,1.816853
193,0.938422,0.000005,1.876853
194,0.948551,0.000005,1.897111
195,0.958553,0.000005,1.917115
196,0.958555,0.000005,1.917120
197,0.968682,0.000005,1.937374
198,0.978809,0.000005,1.957629
199,1.018934,0.000005,2.037879
200,1.019062,0.000005,2.038133
201,1.029062,0.000005,2.058133
202,1.039062,0.000005,2.078133
203,1.049187,0.000005,2.098384
204,1.049189,0.000005,2.098388
205,1.059189,0.000005,2.118388
206,1.069191,0.000005,2.138393
207,1.069318,0.000005,2.138647
208,1.099568,0.000006,2.199147
209,1.099693,0.000006,2.199398
210,1.099943,0.000006,2.199898
211,1.109947,0.000006,2.219906
212,1.109948,0.000006,2.219906
