#This is a CSV file containing the average TPL, TPU, and Cost values for the UR algorithm with PH path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.000000,0.000000
6,6.000000,0.000000
8,8.000000,0.000000
10,10.000000,0.000000
12,12.000000,0.000000
14,14.000000,0.000000
16,16.000000,0.000000
18,18.000000,0.000000
20,20.000000,0.000000
22,22.000000,0.000000
24,24.000000,0.000000
26,26.050000,0.050000
28,28.050000,0.050000
30,30.050000,0.050000
32,32.050000,0.050000
34,34.050000,0.050000
36,36.100000,0.100000
38,38.100000,0.100000
40,40.100000,0.100000
42,42.100000,0.100000
44,44.150000,0.150000
46,46.150000,0.150000
48,48.150000,0.150000
50,50.200000,0.200000
52,52.200000,0.200000
54,54.200000,0.200000
56,56.200000,0.200000
58,58.200000,0.200000
60,60.200000,0.200000
62,62.250000,0.250000
64,64.400000,0.400000
66,66.450000,0.450000
68,68.500000,0.500000
70,70.500000,0.500000
72,72.550000,0.550000
74,74.550000,0.550000
76,76.550000,0.550000
78,78.600000,0.600000
80,80.600000,0.600000
82,82.650000,0.650000
84,84.750000,0.750000
86,86.750000,0.750000
88,88.850000,0.850000
90,90.900000,0.900000
92,92.900000,0.900000
94,94.900000,0.900000
96,97.050000,1.050000
98,99.050000,1.050000
100,101.050000,1.050000
102,103.050000,1.050000
104,105.200000,1.200000
106,107.300000,1.300000
108,109.400000,1.400000
110,111.400000,1.400000
112,113.500000,1.500000
114,115.600000,1.600000
116,117.800000,1.800000
118,119.950000,1.950000
120,122.150000,2.150000
122,124.250000,2.250000
124,126.450000,2.450000
126,128.550000,2.550000
128,130.650000,2.650000
130,132.700000,2.700000
132,134.800000,2.800000
134,136.950000,2.950000
136,139.000000,3.000000
138,141.200000,3.200000
140,143.300000,3.300000
142,145.350000,3.350000
144,147.500000,3.500000
146,149.550000,3.550000
148,151.750000,3.750000
150,154.300000,4.300000
152,156.700000,4.700000
154,158.900000,4.900000
156,161.050000,5.050000
158,163.300000,5.300000
160,165.500000,5.500000
162,167.750000,5.700000
164,170.000000,5.950000
166,172.250000,6.200000
168,174.650000,6.600000
170,176.850000,6.800000
172,179.150000,7.100000
174,181.500000,7.450000
176,183.600000,7.550000
178,185.850000,7.800000
180,188.150000,8.100000
182,190.400000,8.350000
184,192.900000,8.850000
186,195.200000,9.150000
188,197.350000,9.300000
190,199.550000,9.500000
192,202.200000,10.000000
194,204.550000,10.350000
196,206.550000,10.350000
198,209.150000,10.950000
200,211.400000,11.200000
202,213.850000,11.650000
204,216.050000,11.850000
206,218.300000,12.100000
208,220.750000,12.550000
210,223.250000,13.050000
212,225.500000,13.300000
214,228.050000,13.800000
216,230.550000,14.300000
218,232.950000,14.700000
220,235.450000,15.200000
222,238.400000,16.050000
224,240.900000,16.550000
226,243.000000,16.650000
228,245.700000,17.350000
230,248.400000,18.050000
232,250.650000,18.300000
234,253.200000,18.850000
236,255.400000,19.050000
238,257.750000,19.400000
240,260.150000,19.800000
242,263.200000,20.850000
244,265.400000,21.050000
246,267.850000,21.500000
248,270.550000,22.200000
250,273.400000,23.050000
252,276.150000,23.800000
254,278.450000,24.100000
256,281.200000,24.850000
258,283.850000,25.500000
260,287.150000,26.800000
262,289.700000,27.200000
264,292.200000,27.700000
266,294.900000,28.400000
268,297.450000,28.950000
270,299.800000,29.300000
272,302.750000,30.200000
274,305.700000,31.150000
276,308.350000,31.800000
278,310.900000,32.250000
280,313.550000,32.900000
282,316.450000,33.800000
284,319.150000,34.500000
286,321.600000,34.950000
288,324.300000,35.650000
290,326.850000,36.200000
292,329.350000,36.700000
294,332.300000,37.650000
296,335.850000,38.800000
298,339.200000,40.150000
300,341.550000,40.500000
302,344.600000,41.600000
304,347.250000,42.250000
306,350.000000,43.000000
308,352.400000,43.400000
310,355.100000,44.100000
312,357.900000,44.800000
314,360.300000,45.200000
316,364.450000,46.500000
318,367.400000,47.300000
320,370.750000,48.650000
322,373.400000,49.300000
324,375.950000,49.850000
326,378.750000,50.650000
328,381.150000,51.100000
330,383.700000,51.650000
332,386.850000,52.750000
334,390.350000,54.200000
336,393.200000,55.050000
338,395.700000,55.550000
340,398.450000,56.300000
342,401.150000,57.000000
344,404.050000,57.900000
346,407.450000,59.200000
348,410.150000,59.900000
350,413.550000,61.150000
352,416.850000,62.400000
354,419.650000,63.200000
356,422.600000,64.000000
358,425.000000,64.550000
360,429.100000,66.200000
362,432.850000,67.500000
364,436.250000,68.700000
366,438.750000,69.200000
368,441.500000,69.950000
370,445.350000,71.650000
372,449.300000,73.050000
374,452.750000,74.550000
376,455.450000,75.150000
378,460.050000,76.950000
380,463.450000,78.350000
382,466.250000,79.200000
384,470.800000,80.950000
386,474.200000,82.250000
388,478.800000,84.100000
390,482.000000,85.200000
392,486.650000,87.550000
394,489.750000,88.600000
396,494.500000,90.350000
398,498.500000,92.050000
400,502.800000,93.900000
402,506.100000,95.100000
404,510.800000,96.750000
406,514.550000,97.900000
408,518.450000,99.300000
410,521.600000,100.350000
412,525.750000,102.050000
414,529.750000,104.000000
416,533.600000,105.500000
418,537.750000,107.250000
420,541.750000,108.800000
422,546.050000,110.950000
424,550.250000,113.050000
426,554.550000,114.800000
428,558.100000,116.300000
430,563.700000,119.250000
432,566.900000,120.350000
434,570.450000,121.550000
436,573.450000,122.500000
438,578.450000,124.700000
440,584.750000,127.250000
442,588.950000,128.850000
444,592.150000,129.800000
446,595.450000,131.150000
448,603.100000,134.950000
450,606.550000,136.200000
452,610.550000,137.700000
454,616.700000,140.250000
456,622.050000,142.400000
458,626.250000,144.350000
460,631.650000,146.650000
462,634.700000,147.650000
464,640.450000,150.350000
466,643.950000,151.650000
468,648.700000,153.350000
470,656.600000,156.950000
472,660.250000,158.600000
474,663.700000,159.750000
476,669.200000,161.750000
478,673.700000,163.950000
480,674.350000,164.000000
482,682.950000,167.900000
484,687.800000,169.700000
486,689.950000,170.550000
488,698.150000,174.000000
490,709.350000,178.950000
492,715.800000,182.150000
494,725.500000,186.500000
496,730.450000,188.350000
498,735.750000,190.950000
500,744.300000,194.400000
502,752.900000,198.150000
504,763.350000,203.350000
506,771.550000,206.850000
508,771.800000,207.250000
510,778.500000,209.850000
512,788.650000,214.600000
514,801.350000,220.800000
516,827.200000,233.600000
518,834.400000,237.200000
520,840.700000,240.350000
522,845.450000,242.650000
524,848.950000,243.900000
526,863.900000,250.500000
528,876.000000,256.450000
530,878.700000,257.400000
532,885.450000,260.000000
534,903.750000,269.200000
536,906.400000,269.850000
538,909.900000,271.300000
540,920.650000,276.500000
542,936.450000,283.600000
544,961.250000,295.500000
546,989.400000,309.400000
548,999.900000,314.350000
550,1012.400000,320.450000
552,1013.200000,320.600000
554,1030.350000,328.850000
556,1045.150000,335.800000
558,1096.600000,361.800000
560,1149.950000,388.150000
562,1170.750000,397.500000
564,1190.350000,407.400000
566,1201.350000,412.950000
568,1232.850000,428.500000
570,1266.250000,445.050000
572,1252.400000,438.050000
574,1271.550000,447.750000
576,1262.750000,442.200000
578,1273.900000,448.350000
580,1315.400000,468.900000
582,1336.450000,480.250000
584,1332.900000,478.550000
586,1353.550000,486.750000
588,1353.150000,485.850000
590,1461.000000,540.450000
592,1495.900000,556.750000
594,1478.350000,547.550000
596,1543.100000,580.300000
598,1554.100000,584.250000
600,1611.000000,611.700000
602,1654.550000,634.450000
604,1681.550000,648.600000
606,1702.500000,659.950000
608,1759.250000,688.550000
610,1781.500000,700.300000
612,1784.450000,699.900000
614,1804.300000,710.000000
616,1832.950000,726.250000
