#This is a CSV file containing the average TPL, TPU, and Cost values for the UR algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.000000,0.000000
6,6.000000,0.000000
8,8.000000,0.000000
10,10.000000,0.000000
12,12.000000,0.000000
14,14.000000,0.000000
16,16.000000,0.000000
18,18.000000,0.000000
20,20.000000,0.000000
22,22.000000,0.000000
24,24.000000,0.000000
26,26.050000,0.050000
28,28.050000,0.050000
30,30.050000,0.050000
32,32.050000,0.050000
34,34.050000,0.050000
36,36.100000,0.100000
38,38.100000,0.100000
40,40.100000,0.100000
42,42.100000,0.100000
44,44.150000,0.150000
46,46.150000,0.150000
48,48.150000,0.150000
50,50.200000,0.200000
52,52.200000,0.200000
54,54.200000,0.200000
56,56.200000,0.200000
58,58.200000,0.200000
60,60.200000,0.200000
62,62.250000,0.250000
64,64.400000,0.400000
66,66.450000,0.450000
68,68.500000,0.500000
70,70.500000,0.500000
72,72.550000,0.550000
74,74.550000,0.550000
76,76.550000,0.550000
78,78.600000,0.600000
80,80.600000,0.600000
82,82.650000,0.650000
84,84.750000,0.750000
86,86.750000,0.750000
88,88.850000,0.850000
90,90.900000,0.900000
92,92.900000,0.900000
94,94.900000,0.900000
96,97.050000,1.050000
98,99.050000,1.050000
100,101.050000,1.050000
102,103.050000,1.050000
104,105.200000,1.200000
106,107.300000,1.300000
108,109.400000,1.400000
110,111.400000,1.400000
112,113.500000,1.500000
114,115.600000,1.600000
116,117.800000,1.800000
118,119.950000,1.950000
120,122.150000,2.150000
122,124.250000,2.250000
124,126.450000,2.450000
126,128.550000,2.550000
128,130.650000,2.650000
130,132.700000,2.700000
132,134.800000,2.800000
134,136.950000,2.950000
136,139.000000,3.000000
138,141.200000,3.200000
140,143.300000,3.300000
142,145.350000,3.350000
144,147.500000,3.500000
146,149.550000,3.550000
148,151.750000,3.750000
150,154.300000,4.300000
152,156.700000,4.700000
154,158.900000,4.900000
156,161.050000,5.050000
158,163.300000,5.300000
160,165.500000,5.500000
162,167.750000,5.750000
164,170.000000,6.000000
166,172.250000,6.250000
168,174.650000,6.650000
170,176.850000,6.850000
172,179.150000,7.150000
174,181.500000,7.500000
176,183.600000,7.600000
178,185.850000,7.850000
180,188.150000,8.150000
182,190.400000,8.400000
184,192.900000,8.900000
186,195.200000,9.200000
188,197.350000,9.350000
190,199.550000,9.550000
192,202.200000,10.200000
194,204.550000,10.550000
196,206.550000,10.550000
198,209.150000,11.150000
200,211.400000,11.400000
202,213.850000,11.850000
204,216.050000,12.050000
206,218.300000,12.300000
208,220.750000,12.750000
210,223.250000,13.250000
212,225.500000,13.500000
214,228.050000,14.050000
216,230.550000,14.550000
218,232.950000,14.950000
220,235.450000,15.450000
222,238.400000,16.400000
224,240.900000,16.900000
226,243.000000,17.000000
228,245.700000,17.700000
230,248.400000,18.400000
232,250.650000,18.650000
234,253.200000,19.200000
236,255.400000,19.400000
238,257.750000,19.750000
240,260.150000,20.150000
242,263.200000,21.200000
244,265.400000,21.400000
246,267.850000,21.850000
248,270.550000,22.550000
250,273.400000,23.400000
252,276.150000,24.150000
254,278.450000,24.450000
256,281.200000,25.200000
258,283.850000,25.850000
260,287.150000,27.150000
262,289.700000,27.700000
264,292.200000,28.200000
266,294.900000,28.900000
268,297.450000,29.450000
270,299.800000,29.800000
272,302.750000,30.750000
274,305.700000,31.700000
276,308.350000,32.350000
278,310.900000,32.900000
280,313.550000,33.550000
282,316.450000,34.450000
284,319.150000,35.150000
286,321.600000,35.600000
288,324.300000,36.300000
290,326.850000,36.850000
292,329.350000,37.350000
294,332.300000,38.300000
296,335.850000,39.850000
298,339.200000,41.200000
300,341.550000,41.550000
302,344.600000,42.600000
304,347.250000,43.250000
306,350.000000,44.000000
308,352.400000,44.400000
310,355.100000,45.100000
312,357.900000,45.900000
314,360.300000,46.300000
316,364.450000,48.450000
318,367.400000,49.400000
320,370.750000,50.750000
322,373.400000,51.400000
324,375.950000,51.950000
326,378.750000,52.750000
328,381.150000,53.150000
330,383.700000,53.700000
332,386.850000,54.850000
334,390.350000,56.350000
336,393.200000,57.200000
338,395.700000,57.700000
340,398.450000,58.450000
342,401.150000,59.150000
344,404.050000,60.050000
346,407.450000,61.450000
348,410.150000,62.150000
350,413.550000,63.550000
352,416.850000,64.850000
354,419.650000,65.650000
356,422.600000,66.600000
358,425.000000,67.100000
360,429.100000,69.200000
362,432.850000,70.950000
364,436.250000,72.350000
366,438.750000,72.850000
368,441.500000,73.600000
370,445.350000,75.450000
372,449.300000,77.400000
374,452.750000,78.850000
376,455.450000,79.550000
378,460.050000,82.150000
380,463.450000,83.550000
382,466.250000,84.350000
384,470.800000,86.900000
386,474.200000,88.300000
388,478.800000,90.900000
390,482.000000,92.100000
392,486.650000,94.750000
394,489.750000,95.850000
396,494.500000,98.600000
398,498.500000,100.600000
400,502.800000,102.900000
402,506.100000,104.200000
404,510.800000,106.900000
406,514.550000,108.650000
408,518.450000,110.550000
410,521.600000,111.700000
412,525.750000,113.850000
414,529.750000,115.850000
416,533.600000,117.700000
418,537.750000,119.850000
420,541.750000,121.850000
422,546.050000,124.150000
424,550.250000,126.350000
426,554.550000,128.650000
428,558.100000,130.200000
430,563.700000,133.800000
432,566.900000,135.000000
434,570.450000,136.550000
436,573.450000,137.550000
438,578.450000,140.600000
440,584.750000,144.900000
442,588.950000,147.100000
444,592.150000,148.300000
446,595.450000,149.600000
448,603.100000,155.250000
450,606.550000,156.700000
452,610.550000,158.700000
454,616.700000,162.850000
456,622.050000,166.200000
458,626.250000,168.400000
460,631.650000,171.800000
462,634.700000,172.850000
464,640.450000,176.600000
466,643.950000,178.150000
468,648.700000,180.900000
470,656.550000,186.750000
472,660.200000,188.450000
474,660.650000,186.900000
476,666.150000,190.400000
478,670.500000,192.800000
480,673.700000,194.100000
482,682.300000,200.700000
484,687.150000,203.600000
486,689.550000,204.100000
488,697.750000,210.400000
490,708.850000,219.500000
492,715.250000,223.900000
494,724.950000,231.650000
496,729.900000,234.600000
498,735.200000,237.900000
500,743.700000,244.400000
502,752.300000,251.000000
504,760.400000,257.150000
506,768.600000,263.350000
508,770.800000,263.550000
510,775.900000,266.700000
512,787.200000,276.000000
514,799.850000,286.750000
516,825.700000,310.600000
518,832.600000,315.500000
520,838.900000,319.800000
522,843.650000,322.600000
524,844.900000,321.850000
526,859.450000,334.500000
528,871.200000,344.250000
530,873.900000,344.950000
532,880.400000,349.450000
534,900.300000,367.450000
536,902.350000,367.600000
538,905.650000,368.950000
540,915.100000,376.500000
542,930.550000,390.000000
544,955.150000,412.650000
546,981.050000,436.600000
548,991.800000,445.350000
550,1001.550000,453.250000
552,1001.150000,450.950000
554,1019.350000,467.300000
556,1033.100000,479.100000
558,1081.600000,525.800000
560,1125.050000,567.250000
562,1143.800000,584.100000
564,1160.100000,598.550000
566,1184.350000,620.850000
568,1215.200000,649.700000
570,1238.250000,670.800000
572,1218.200000,648.750000
574,1234.800000,663.450000
576,1232.600000,659.250000
578,1244.000000,668.700000
580,1268.650000,691.450000
582,1293.450000,714.350000
584,1285.850000,704.750000
586,1318.500000,735.550000
588,1314.350000,729.800000
590,1431.450000,844.950000
592,1473.800000,885.400000
594,1443.950000,853.650000
596,1512.400000,920.350000
598,1513.500000,919.650000
600,1550.300000,954.650000
602,1594.300000,996.800000
604,1601.000000,1001.650000
606,1619.150000,1017.950000
608,1650.450000,1047.450000
610,1666.800000,1061.950000
612,1682.350000,1075.800000
614,1722.900000,1114.550000
