#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000001,0.000000,0.000001
14,0.000001,0.000000,0.000001
15,0.000001,0.000000,0.000002
16,0.000001,0.000000,0.000002
17,0.000001,0.000000,0.000002
18,0.000001,0.000000,0.000002
19,0.000001,0.000000,0.000002
20,0.000001,0.000000,0.000002
21,0.000001,0.000000,0.000002
22,0.000001,0.000000,0.000002
23,0.000061,0.000060,0.000241
24,0.000061,0.000060,0.000241
25,0.000061,0.000060,0.000241
26,0.007264,0.000119,0.014766
27,0.007323,0.000179,0.015004
28,0.007324,0.000179,0.015005
29,0.007324,0.000179,0.015005
30,0.007324,0.000179,0.015005
31,0.007324,0.000179,0.015005
32,0.007324,0.000179,0.015005
33,0.007324,0.000179,0.015005
34,0.007324,0.000179,0.015005
35,0.007324,0.000179,0.015005
36,0.007383,0.000238,0.015243
37,0.007383,0.000238,0.015243
38,0.007385,0.000238,0.015245
39,0.007385,0.000238,0.015246
40,0.007385,0.000238,0.015246
41,0.007385,0.000238,0.015246
42,0.007385,0.000238,0.015246
43,0.007445,0.000298,0.015485
44,0.014588,0.000298,0.029771
45,0.014588,0.000298,0.029771
46,0.014588,0.000298,0.029771
47,0.014588,0.000298,0.029771
48,0.014588,0.000298,0.029771
49,0.014588,0.000298,0.029772
50,0.014588,0.000298,0.029772
51,0.014588,0.000298,0.029772
52,0.014589,0.000298,0.029773
53,0.014589,0.000298,0.029773
54,0.014648,0.000357,0.030011
55,0.021791,0.000357,0.044297
56,0.021791,0.000357,0.044297
57,0.021793,0.000357,0.044300
58,0.021852,0.000417,0.044538
59,0.021852,0.000417,0.044538
60,0.021852,0.000417,0.044538
61,0.021852,0.000417,0.044538
62,0.021912,0.000476,0.044776
63,0.021913,0.000476,0.044778
64,0.021913,0.000476,0.044778
65,0.021913,0.000476,0.044779
66,0.021913,0.000476,0.044779
67,0.021913,0.000476,0.044779
68,0.021913,0.000476,0.044779
69,0.021914,0.000476,0.044781
70,0.021915,0.000476,0.044782
71,0.021915,0.000476,0.044782
72,0.021915,0.000476,0.044782
73,0.021915,0.000476,0.044782
74,0.021915,0.000476,0.044782
75,0.029058,0.000476,0.059068
76,0.029058,0.000476,0.059068
77,0.036201,0.000476,0.073354
78,0.036201,0.000476,0.073354
79,0.036261,0.000536,0.073593
80,0.036261,0.000536,0.073594
81,0.043404,0.000536,0.087880
82,0.043405,0.000536,0.087881
83,0.057691,0.000536,0.116453
84,0.064833,0.000536,0.130738
85,0.064834,0.000536,0.130739
86,0.071978,0.000536,0.145028
87,0.071978,0.000536,0.145028
88,0.071978,0.000536,0.145028
89,0.079121,0.000536,0.159313
90,0.093526,0.000655,0.188361
91,0.100728,0.000714,0.202885
92,0.107871,0.000714,0.217170
93,0.107871,0.000714,0.217170
94,0.107930,0.000774,0.217409
95,0.115073,0.000774,0.231694
96,0.115074,0.000774,0.231695
97,0.129360,0.000774,0.260268
98,0.129360,0.000774,0.260268
99,0.129360,0.000774,0.260268
100,0.129360,0.000774,0.260268
101,0.136503,0.000774,0.274554
102,0.143706,0.000833,0.289078
103,0.143706,0.000833,0.289079
104,0.143706,0.000833,0.289079
105,0.143706,0.000833,0.289079
106,0.143706,0.000833,0.289079
107,0.150849,0.000833,0.303365
108,0.150850,0.000833,0.303366
109,0.157992,0.000833,0.317652
110,0.157992,0.000833,0.317652
111,0.157993,0.000833,0.317653
112,0.157994,0.000833,0.317655
113,0.158054,0.000893,0.317893
114,0.165257,0.000952,0.332418
115,0.172459,0.001012,0.346942
116,0.172460,0.001012,0.346944
117,0.172520,0.001071,0.347184
118,0.172521,0.001071,0.347185
119,0.172521,0.001071,0.347185
120,0.179664,0.001071,0.361472
121,0.179664,0.001071,0.361472
122,0.179665,0.001071,0.361473
123,0.179665,0.001071,0.361473
124,0.186809,0.001071,0.375761
125,0.186810,0.001071,0.375762
126,0.186870,0.001131,0.376002
127,0.186989,0.001250,0.376478
128,0.186990,0.001250,0.376479
129,0.187049,0.001310,0.376717
130,0.194192,0.001310,0.391003
131,0.194252,0.001369,0.391242
132,0.208598,0.001429,0.420054
133,0.215801,0.001488,0.434579
134,0.215802,0.001488,0.434580
135,0.215803,0.001488,0.434581
136,0.222945,0.001488,0.448867
137,0.230090,0.001488,0.463155
138,0.230149,0.001548,0.463393
139,0.251579,0.001548,0.506253
140,0.251817,0.001786,0.507205
141,0.251936,0.001905,0.507682
142,0.251996,0.001964,0.507920
143,0.266341,0.002024,0.536730
144,0.266401,0.002083,0.536970
145,0.266402,0.002083,0.536971
146,0.280688,0.002083,0.565542
147,0.287891,0.002143,0.580068
148,0.295095,0.002202,0.594595
149,0.302417,0.002381,0.609596
150,0.302476,0.002440,0.609834
151,0.302536,0.002500,0.610072
152,0.309679,0.002500,0.624358
153,0.309679,0.002500,0.624359
154,0.309679,0.002500,0.624359
155,0.316822,0.002500,0.638645
156,0.316823,0.002500,0.638646
157,0.324026,0.002560,0.653171
158,0.324026,0.002560,0.653171
159,0.324027,0.002560,0.653172
160,0.324087,0.002619,0.653411
161,0.331230,0.002619,0.667698
162,0.345575,0.002679,0.696508
163,0.345636,0.002738,0.696748
164,0.352780,0.002738,0.711035
165,0.359983,0.002798,0.725560
166,0.374269,0.002798,0.754134
167,0.381413,0.002798,0.768422
168,0.388556,0.002798,0.782708
169,0.395878,0.003036,0.797828
170,0.403021,0.003036,0.812114
171,0.403021,0.003036,0.812114
172,0.403141,0.003155,0.812591
173,0.410344,0.003214,0.827116
174,0.410404,0.003274,0.827356
175,0.410404,0.003274,0.827356
176,0.410405,0.003274,0.827357
177,0.417547,0.003274,0.841643
178,0.431893,0.003333,0.870453
179,0.453382,0.003393,0.913550
180,0.453383,0.003393,0.913551
181,0.453443,0.003452,0.913790
182,0.453503,0.003512,0.914031
183,0.482253,0.003750,0.972007
184,0.489397,0.003750,0.986294
185,0.489397,0.003750,0.986295
186,0.489397,0.003750,0.986295
187,0.489457,0.003810,0.986533
188,0.496600,0.003810,1.000819
189,0.503802,0.003869,1.015343
190,0.503863,0.003929,1.015583
191,0.511006,0.003929,1.029869
192,0.518268,0.004048,1.044632
193,0.525413,0.004048,1.058921
194,0.532616,0.004107,1.073446
195,0.539759,0.004107,1.087733
196,0.547021,0.004226,1.102495
197,0.554165,0.004226,1.116782
198,0.554165,0.004226,1.116783
199,0.554227,0.004286,1.117026
200,0.568692,0.004464,1.146312
201,0.568692,0.004464,1.146313
202,0.575836,0.004464,1.160600
203,0.590122,0.004464,1.189173
204,0.597384,0.004583,1.203934
205,0.611670,0.004583,1.232507
206,0.611671,0.004583,1.232508
207,0.618933,0.004702,1.247270
208,0.619113,0.004881,1.247988
209,0.626315,0.004940,1.262512
210,0.633518,0.005000,1.277036
211,0.640721,0.005060,1.291561
212,0.640780,0.005119,1.291799
