#This is a CSV file containing the average TPL, TPU, and Cost values for the UW algorithm with FC path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.000000,0.000000
6,6.000000,0.000000
8,8.000000,0.000000
10,10.000000,0.000000
12,12.000000,0.000000
14,14.000000,0.000000
16,16.000000,0.000000
18,18.000000,0.000000
20,20.000000,0.000000
22,22.000000,0.000000
24,24.000000,0.000000
26,26.050000,0.050000
28,28.050000,0.050000
30,30.050000,0.050000
32,32.050000,0.050000
34,34.050000,0.050000
36,36.100000,0.100000
38,38.100000,0.100000
40,40.100000,0.100000
42,42.100000,0.100000
44,44.150000,0.150000
46,46.150000,0.150000
48,48.150000,0.150000
50,50.200000,0.200000
52,52.200000,0.200000
54,54.200000,0.200000
56,56.200000,0.200000
58,58.200000,0.200000
60,60.200000,0.200000
62,62.250000,0.250000
64,64.400000,0.400000
66,66.450000,0.450000
68,68.450000,0.450000
70,70.450000,0.450000
72,72.500000,0.500000
74,74.500000,0.500000
76,76.500000,0.500000
78,78.550000,0.550000
80,80.550000,0.550000
82,82.600000,0.600000
84,84.700000,0.700000
86,86.700000,0.700000
88,88.800000,0.800000
90,90.850000,0.850000
92,92.850000,0.850000
94,94.850000,0.850000
96,97.000000,1.000000
98,99.000000,1.000000
100,101.000000,1.000000
102,103.000000,1.000000
104,105.100000,1.100000
106,107.150000,1.150000
108,109.250000,1.250000
110,111.250000,1.250000
112,113.350000,1.350000
114,115.450000,1.450000
116,117.550000,1.550000
118,119.700000,1.700000
120,121.850000,1.850000
122,123.950000,1.950000
124,126.150000,2.150000
126,128.250000,2.250000
128,130.300000,2.300000
130,132.350000,2.350000
132,134.400000,2.400000
134,136.500000,2.500000
136,138.500000,2.500000
138,140.650000,2.650000
140,142.700000,2.700000
142,144.750000,2.750000
144,146.900000,2.900000
146,148.950000,2.950000
148,151.100000,3.100000
150,153.500000,3.500000
152,155.750000,3.750000
154,157.850000,3.850000
156,160.000000,4.000000
158,162.150000,4.150000
160,164.300000,4.300000
162,166.550000,4.550000
164,168.700000,4.700000
166,170.850000,4.850000
168,173.150000,5.150000
170,175.300000,5.300000
172,177.500000,5.500000
174,179.750000,5.750000
176,181.800000,5.800000
178,184.000000,6.000000
180,186.100000,6.100000
182,188.250000,6.250000
184,190.600000,6.600000
186,192.850000,6.850000
188,195.000000,7.000000
190,197.200000,7.200000
192,199.700000,7.700000
194,201.950000,7.950000
196,203.950000,7.950000
198,206.250000,8.250000
200,208.400000,8.400000
202,210.750000,8.750000
204,212.850000,8.850000
206,215.050000,9.050000
208,217.450000,9.450000
210,219.700000,9.700000
212,221.800000,9.800000
214,224.300000,10.300000
216,226.650000,10.650000
218,229.050000,11.050000
220,231.450000,11.450000
222,233.850000,11.850000
224,236.000000,12.000000
226,238.100000,12.100000
228,240.600000,12.600000
230,242.650000,12.650000
232,244.900000,12.900000
234,247.250000,13.250000
236,249.300000,13.300000
238,251.500000,13.500000
240,253.700000,13.700000
242,256.250000,14.250000
244,258.350000,14.350000
246,260.650000,14.650000
248,263.050000,15.050000
250,265.600000,15.600000
252,267.850000,15.850000
254,270.050000,16.050000
256,272.450000,16.450000
258,274.800000,16.800000
260,277.750000,17.750000
262,280.300000,18.300000
264,282.750000,18.750000
266,285.050000,19.050000
268,287.400000,19.400000
270,289.750000,19.750000
272,292.350000,20.350000
274,295.050000,21.050000
276,297.600000,21.600000
278,299.950000,21.950000
280,302.300000,22.300000
282,304.750000,22.750000
284,307.300000,23.300000
286,309.650000,23.650000
288,312.150000,24.150000
290,314.350000,24.350000
292,316.650000,24.650000
294,319.300000,25.300000
296,322.400000,26.400000
298,325.400000,27.400000
300,327.700000,27.700000
302,330.250000,28.250000
304,332.700000,28.700000
306,335.150000,29.150000
308,337.450000,29.450000
310,339.900000,29.900000
312,342.500000,30.500000
314,344.750000,30.750000
316,348.500000,32.500000
318,351.200000,33.200000
320,354.100000,34.100000
322,356.500000,34.500000
324,358.750000,34.750000
326,361.500000,35.500000
328,363.600000,35.600000
330,366.050000,36.050000
332,368.950000,36.950000
334,372.100000,38.100000
336,374.600000,38.600000
338,377.050000,39.050000
340,379.600000,39.600000
342,382.050000,40.050000
344,384.300000,40.300000
346,387.400000,41.400000
348,389.950000,41.950000
350,392.750000,42.750000
352,395.700000,43.700000
354,397.900000,43.900000
356,400.400000,44.400000
358,402.400000,44.500000
360,405.350000,45.450000
362,408.750000,46.850000
364,411.900000,48.000000
366,414.050000,48.150000
368,416.500000,48.600000
370,419.950000,50.050000
372,423.300000,51.400000
374,426.550000,52.650000
376,429.050000,53.150000
378,432.300000,54.400000
380,435.300000,55.400000
382,437.900000,56.000000
384,440.750000,56.850000
386,443.850000,57.950000
388,447.100000,59.200000
390,450.150000,60.250000
392,453.800000,61.900000
394,456.800000,62.900000
396,459.900000,64.000000
398,463.500000,65.600000
400,467.550000,67.650000
402,470.650000,68.750000
404,474.100000,70.200000
406,477.350000,71.450000
408,480.650000,72.750000
410,483.550000,73.650000
412,487.150000,75.250000
414,490.300000,76.400000
416,493.750000,77.850000
418,497.450000,79.550000
420,500.450000,80.550000
422,504.300000,82.400000
424,508.200000,84.300000
426,511.850000,85.950000
428,514.950000,87.050000
430,519.150000,89.250000
432,521.750000,89.850000
434,524.550000,90.650000
436,527.150000,91.250000
438,530.650000,92.800000
440,533.650000,93.800000
442,537.450000,95.600000
444,540.350000,96.500000
446,543.450000,97.600000
448,547.350000,99.500000
450,550.400000,100.550000
452,553.950000,102.100000
454,558.300000,104.450000
456,562.650000,106.800000
458,566.150000,108.300000
460,570.500000,110.650000
462,572.700000,110.850000
464,577.400000,113.550000
466,580.200000,114.400000
468,584.300000,116.500000
470,588.300000,118.500000
472,591.700000,119.950000
474,594.850000,121.100000
476,599.650000,123.900000
478,603.050000,125.350000
480,606.400000,126.800000
482,610.550000,128.950000
484,614.350000,130.800000
486,616.550000,131.100000
488,621.100000,133.750000
490,625.450000,136.100000
492,628.500000,137.150000
494,634.850000,141.550000
496,638.850000,143.550000
498,641.700000,144.400000
500,644.650000,145.350000
502,648.900000,147.600000
504,655.250000,152.000000
506,658.950000,153.700000
508,663.100000,155.850000
510,666.700000,157.500000
512,672.000000,160.800000
514,675.800000,162.700000
516,688.150000,173.050000
518,692.450000,175.350000
520,696.900000,177.800000
522,701.000000,179.950000
524,704.300000,181.250000
526,711.500000,186.550000
528,722.750000,195.800000
530,726.050000,197.100000
532,731.350000,200.400000
534,737.700000,204.850000
536,739.100000,204.350000
538,742.400000,205.700000
540,750.300000,211.700000
542,756.100000,215.550000
544,765.150000,222.650000
546,772.100000,227.650000
548,775.700000,229.250000
550,782.250000,233.950000
552,785.300000,235.100000
554,792.450000,240.400000
556,802.950000,248.950000
558,805.500000,249.700000
560,820.400000,262.600000
562,823.400000,263.700000
564,826.850000,265.300000
566,833.000000,269.500000
568,840.100000,274.600000
570,847.300000,279.850000
572,852.950000,283.500000
574,855.000000,283.650000
576,859.500000,286.150000
578,868.700000,293.400000
580,876.850000,299.650000
582,883.650000,304.550000
584,891.800000,310.700000
586,894.150000,311.200000
588,896.550000,312.000000
590,907.050000,320.550000
592,913.350000,324.950000
594,915.450000,325.150000
596,918.550000,326.500000
598,921.500000,327.650000
600,930.700000,335.050000
602,936.750000,339.250000
604,941.750000,342.400000
606,942.350000,341.150000
608,943.500000,340.500000
610,949.750000,344.900000
612,951.900000,345.350000
614,960.050000,351.700000
616,960.650000,350.800000
618,963.100000,351.650000
620,967.350000,354.050000
622,974.750000,359.600000
