#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.050000,0.050000,0.200000
20,0.050000,0.050000,0.200000
21,0.050000,0.050000,0.200000
22,0.050000,0.050000,0.200000
23,0.050000,0.050000,0.200000
24,0.050000,0.050000,0.200000
25,0.050000,0.050000,0.200000
26,0.050000,0.050000,0.200000
27,0.050000,0.050000,0.200000
28,0.050000,0.050000,0.200000
29,0.050000,0.050000,0.200000
30,0.050000,0.050000,0.200000
31,0.100000,0.100000,0.400000
32,0.100000,0.100000,0.400000
33,0.100000,0.100000,0.400000
34,0.100000,0.100000,0.400000
35,0.100000,0.100000,0.400000
36,0.100000,0.100000,0.400000
37,0.150000,0.150000,0.600000
38,0.200000,0.200000,0.800000
39,0.200000,0.200000,0.800000
40,0.200000,0.200000,0.800000
41,0.200000,0.200000,0.800000
42,0.200000,0.200000,0.800000
43,0.200000,0.200000,0.800000
44,0.200000,0.200000,0.800000
45,0.200000,0.200000,0.800000
46,0.200000,0.200000,0.800000
47,0.200000,0.200000,0.800000
48,0.200000,0.200000,0.800000
49,0.200000,0.200000,0.800000
50,0.250000,0.250000,1.000000
51,0.350000,0.350000,1.400000
52,0.450000,0.450000,1.800000
53,0.450000,0.450000,1.800000
54,0.450000,0.450000,1.800000
55,0.500000,0.500000,2.000000
56,0.550000,0.550000,2.200000
57,0.600000,0.600000,2.400000
58,0.600000,0.600000,2.400000
59,0.600000,0.600000,2.400000
60,0.600000,0.600000,2.400000
61,0.600000,0.600000,2.400000
62,0.600000,0.600000,2.400000
63,0.600000,0.600000,2.400000
64,0.650000,0.650000,2.600000
65,0.650000,0.650000,2.600000
66,0.650000,0.650000,2.600000
67,0.650000,0.650000,2.600000
68,0.650000,0.650000,2.600000
69,0.650000,0.650000,2.600000
70,0.650000,0.650000,2.600000
71,0.650000,0.650000,2.600000
72,0.650000,0.650000,2.600000
73,0.650000,0.650000,2.600000
74,0.700000,0.700000,2.800000
75,0.700000,0.700000,2.800000
76,0.700000,0.700000,2.800000
77,0.700000,0.700000,2.800000
78,0.750000,0.750000,3.000000
79,0.750000,0.750000,3.000000
80,0.750000,0.750000,3.000000
81,0.800000,0.800000,3.200000
82,0.800000,0.800000,3.200000
83,0.800000,0.800000,3.200000
84,0.800000,0.800000,3.200000
85,0.850000,0.850000,3.400000
86,0.850000,0.850000,3.400000
87,0.850000,0.850000,3.400000
88,0.950000,0.950000,3.800000
89,0.950000,0.950000,3.800000
90,1.000000,1.000000,4.000000
91,1.050000,1.050000,4.200000
92,1.150000,1.150000,4.600000
93,1.150000,1.150000,4.600000
94,1.150000,1.150000,4.600000
95,1.200000,1.200000,4.800000
96,1.250000,1.250000,5.000000
97,1.250000,1.250000,5.000000
98,1.250000,1.250000,5.000000
99,1.300000,1.300000,5.200000
100,1.350000,1.350000,5.400000
101,1.350000,1.350000,5.400000
102,1.400000,1.400000,5.600000
103,1.400000,1.400000,5.600000
104,1.450000,1.450000,5.800000
105,1.450000,1.450000,5.800000
106,1.500000,1.500000,6.000000
107,1.550000,1.550000,6.200000
108,1.650000,1.650000,6.600000
109,1.650000,1.650000,6.600000
110,1.700000,1.700000,6.800000
111,1.750000,1.750000,7.000000
112,1.750000,1.750000,7.000000
113,1.750000,1.750000,7.000000
114,1.750000,1.750000,7.000000
115,1.800000,1.800000,7.200000
116,1.800000,1.800000,7.200000
117,1.800000,1.800000,7.200000
118,1.800000,1.800000,7.200000
119,1.850000,1.850000,7.400000
120,1.850000,1.850000,7.400000
121,1.900000,1.900000,7.600000
122,1.900000,1.900000,7.600000
123,2.000000,2.000000,8.000000
124,2.000000,2.000000,8.000000
125,2.150000,2.150000,8.600000
126,2.150000,2.150000,8.600000
127,2.150000,2.150000,8.600000
128,2.150000,2.150000,8.600000
129,2.200000,2.200000,8.800000
130,2.250000,2.250000,9.000000
131,2.250000,2.250000,9.000000
132,2.300000,2.300000,9.200000
133,2.300000,2.300000,9.200000
134,2.350000,2.350000,9.400000
135,2.400000,2.400000,9.600000
136,2.450000,2.450000,9.800000
137,2.500000,2.500000,10.000000
138,2.500000,2.500000,10.000000
139,2.550000,2.550000,10.200000
140,2.600000,2.600000,10.400000
141,2.650000,2.700000,10.700000
142,2.650000,2.700000,10.700000
143,2.650000,2.700000,10.700000
144,2.650000,2.700000,10.700000
145,2.650000,2.700000,10.700000
146,2.700000,2.750000,10.900000
147,2.750000,2.800000,11.100000
148,2.750000,2.800000,11.100000
149,2.750000,2.800000,11.100000
150,2.800000,2.900000,11.400000
151,2.850000,2.950000,11.600000
152,2.900000,3.000000,11.800000
153,2.900000,3.000000,11.800000
154,2.950000,3.050000,12.000000
155,2.950000,3.050000,12.000000
156,2.950000,3.050000,12.000000
157,3.000000,3.100000,12.200000
158,3.050000,3.150000,12.400000
159,3.100000,3.200000,12.600000
160,3.150000,3.250000,12.800000
161,3.150000,3.250000,12.800000
162,3.200000,3.300000,13.000000
163,3.250000,3.350000,13.200000
164,3.300000,3.400000,13.400000
165,3.350000,3.450000,13.600000
166,3.350000,3.450000,13.600000
167,3.400000,3.500000,13.800000
168,3.450000,3.550000,14.000000
169,3.450000,3.550000,14.000000
170,3.550000,3.650000,14.400000
171,3.550000,3.650000,14.400000
172,3.550000,3.650000,14.400000
173,3.550000,3.650000,14.400000
174,3.550000,3.650000,14.400000
175,3.600000,3.700000,14.600000
176,3.600000,3.700000,14.600000
177,3.600000,3.700000,14.600000
178,3.750000,3.850000,15.200000
179,3.750000,3.850000,15.200000
180,3.800000,3.900000,15.400000
181,3.950000,4.050000,16.000000
182,4.000000,4.100000,16.200000
183,4.050000,4.150000,16.400000
184,4.100000,4.200000,16.600000
185,4.150000,4.250000,16.800000
186,4.150000,4.250000,16.800000
187,4.150000,4.250000,16.800000
188,4.150000,4.250000,16.800000
189,4.150000,4.250000,16.800000
190,4.150000,4.250000,16.800000
191,4.200000,4.300000,17.000000
192,4.200000,4.300000,17.000000
193,4.450000,4.550000,18.000000
194,4.500000,4.600000,18.200000
195,4.500000,4.600000,18.200000
196,4.600000,4.700000,18.600000
197,4.700000,4.800000,19.000000
198,4.750000,4.850000,19.200000
199,4.800000,4.900000,19.400000
200,4.800000,4.900000,19.400000
201,4.800000,4.900000,19.400000
202,4.900000,5.050000,19.900000
203,4.950000,5.100000,20.100000
204,5.000000,5.150000,20.300000
205,5.050000,5.250000,20.600000
206,5.150000,5.350000,21.000000
207,5.150000,5.350000,21.000000
208,5.150000,5.350000,21.000000
209,5.150000,5.350000,21.000000
210,5.150000,5.350000,21.000000
211,5.200000,5.400000,21.200000
212,5.350000,5.550000,21.800000
