#This is a CSV file containing the average TPL, TPU, and Cost values for the UW algorithm with NC path compression.
#The data was generated for n = 1000 and delta = 1.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.050000,0.000000,0.100000
5,0.100000,0.000000,0.200000
6,0.100000,0.000000,0.200000
7,0.150000,0.000000,0.300000
8,0.150000,0.000000,0.300000
9,0.150000,0.000000,0.300000
10,0.150000,0.000000,0.300000
11,0.150000,0.000000,0.300000
12,0.150000,0.000000,0.300000
13,0.150000,0.000000,0.300000
14,0.250000,0.000000,0.500000
15,0.250000,0.000000,0.500000
16,0.300000,0.000000,0.600000
17,0.400000,0.000000,0.800000
18,0.400000,0.000000,0.800000
19,0.400000,0.000000,0.800000
20,0.550000,0.000000,1.100000
21,0.600000,0.000000,1.200000
22,0.650000,0.000000,1.300000
23,0.650000,0.000000,1.300000
24,0.650000,0.000000,1.300000
25,0.750000,0.000000,1.500000
26,0.900000,0.000000,1.800000
27,0.900000,0.000000,1.800000
28,0.950000,0.000000,1.900000
29,1.000000,0.000000,2.000000
30,1.050000,0.000000,2.100000
31,1.100000,0.000000,2.200000
32,1.150000,0.000000,2.300000
33,1.150000,0.000000,2.300000
34,1.150000,0.000000,2.300000
35,1.150000,0.000000,2.300000
36,1.250000,0.000000,2.500000
37,1.250000,0.000000,2.500000
38,1.300000,0.000000,2.600000
39,1.350000,0.000000,2.700000
40,1.500000,0.000000,3.000000
41,1.550000,0.000000,3.100000
42,1.600000,0.000000,3.200000
43,1.800000,0.000000,3.600000
44,1.950000,0.000000,3.900000
45,2.000000,0.000000,4.000000
46,2.050000,0.000000,4.100000
47,2.100000,0.000000,4.200000
48,2.150000,0.000000,4.300000
49,2.250000,0.000000,4.500000
50,2.400000,0.000000,4.800000
51,2.450000,0.000000,4.900000
52,2.550000,0.000000,5.100000
53,2.650000,0.000000,5.300000
54,2.750000,0.000000,5.500000
55,2.850000,0.000000,5.700000
56,3.000000,0.000000,6.000000
57,3.000000,0.000000,6.000000
58,3.150000,0.000000,6.300000
59,3.200000,0.000000,6.400000
60,3.300000,0.000000,6.600000
61,3.500000,0.000000,7.000000
62,3.600000,0.000000,7.200000
63,3.800000,0.000000,7.600000
64,4.100000,0.000000,8.200000
65,4.400000,0.000000,8.800000
66,4.500000,0.000000,9.000000
67,4.600000,0.000000,9.200000
68,4.750000,0.000000,9.500000
69,4.800000,0.000000,9.600000
70,5.000000,0.000000,10.000000
71,5.250000,0.000000,10.500000
72,5.250000,0.000000,10.500000
73,5.450000,0.000000,10.900000
74,5.450000,0.000000,10.900000
75,5.600000,0.000000,11.200000
76,5.700000,0.000000,11.400000
77,5.850000,0.000000,11.700000
78,6.100000,0.000000,12.200000
79,6.300000,0.000000,12.600000
80,6.350000,0.000000,12.700000
81,6.550000,0.000000,13.100000
82,6.600000,0.000000,13.200000
83,6.650000,0.000000,13.300000
84,6.900000,0.000000,13.800000
85,7.000000,0.000000,14.000000
86,7.150000,0.000000,14.300000
87,7.300000,0.000000,14.600000
88,7.350000,0.000000,14.700000
89,7.650000,0.000000,15.300000
90,8.050000,0.000000,16.100000
91,8.350000,0.000000,16.700000
92,8.550000,0.000000,17.100000
93,8.750000,0.000000,17.500000
94,8.950000,0.000000,17.900000
95,9.150000,0.000000,18.300000
96,9.400000,0.000000,18.800000
97,9.600000,0.000000,19.200000
98,9.700000,0.000000,19.400000
99,9.950000,0.000000,19.900000
100,10.100000,0.000000,20.200000
101,10.400000,0.000000,20.800000
102,10.650000,0.000000,21.300000
103,11.000000,0.000000,22.000000
104,11.400000,0.000000,22.800000
105,11.700000,0.000000,23.400000
106,12.150000,0.000000,24.300000
107,12.550000,0.000000,25.100000
108,12.600000,0.000000,25.200000
109,12.750000,0.000000,25.500000
110,12.950000,0.000000,25.900000
111,13.300000,0.000000,26.600000
112,13.600000,0.000000,27.200000
113,14.050000,0.000000,28.100000
114,14.350000,0.000000,28.700000
115,14.550000,0.000000,29.100000
116,14.750000,0.000000,29.500000
117,15.100000,0.000000,30.200000
118,15.350000,0.000000,30.700000
119,15.700000,0.000000,31.400000
120,16.100000,0.000000,32.200000
121,16.600000,0.000000,33.200000
122,16.900000,0.000000,33.800000
123,16.950000,0.000000,33.900000
124,17.200000,0.000000,34.400000
125,17.450000,0.000000,34.900000
126,17.700000,0.000000,35.400000
127,18.050000,0.000000,36.100000
128,18.350000,0.000000,36.700000
129,18.550000,0.000000,37.100000
130,18.700000,0.000000,37.400000
131,19.000000,0.000000,38.000000
132,19.200000,0.000000,38.400000
133,19.600000,0.000000,39.200000
134,20.150000,0.000000,40.300000
135,20.300000,0.000000,40.600000
136,20.550000,0.000000,41.100000
137,20.700000,0.000000,41.400000
138,21.100000,0.000000,42.200000
139,21.450000,0.000000,42.900000
140,21.900000,0.000000,43.800000
141,22.150000,0.000000,44.300000
142,22.550000,0.000000,45.100000
143,22.850000,0.000000,45.700000
144,23.000000,0.000000,46.000000
145,23.250000,0.000000,46.500000
146,23.600000,0.000000,47.200000
147,24.050000,0.000000,48.100000
148,24.150000,0.000000,48.300000
149,24.450000,0.000000,48.900000
150,25.150000,0.000000,50.300000
151,25.500000,0.000000,51.000000
152,25.800000,0.000000,51.600000
153,26.200000,0.000000,52.400000
154,26.850000,0.000000,53.700000
155,27.150000,0.000000,54.300000
156,27.550000,0.000000,55.100000
157,27.850000,0.000000,55.700000
158,28.300000,0.000000,56.600000
159,28.700000,0.000000,57.400000
160,29.250000,0.000000,58.500000
161,29.750000,0.000000,59.500000
162,30.450000,0.000000,60.900000
163,30.800000,0.000000,61.600000
164,31.050000,0.000000,62.100000
165,31.650000,0.000000,63.300000
166,32.400000,0.000000,64.800000
167,32.800000,0.000000,65.600000
168,33.050000,0.000000,66.100000
169,33.400000,0.000000,66.800000
170,33.850000,0.000000,67.700000
171,34.150000,0.000000,68.300000
172,34.750000,0.000000,69.500000
173,35.300000,0.000000,70.600000
174,35.700000,0.000000,71.400000
175,36.000000,0.000000,72.000000
176,36.700000,0.000000,73.400000
177,37.200000,0.000000,74.400000
178,37.750000,0.000000,75.500000
179,38.400000,0.000000,76.800000
180,38.650000,0.000000,77.300000
181,39.250000,0.000000,78.500000
182,39.850000,0.000000,79.700000
183,40.100000,0.000000,80.200000
184,40.750000,0.000000,81.500000
185,41.200000,0.000000,82.400000
186,41.550000,0.000000,83.100000
187,42.100000,0.000000,84.200000
188,42.400000,0.000000,84.800000
189,42.800000,0.000000,85.600000
190,43.000000,0.000000,86.000000
191,43.700000,0.000000,87.400000
192,44.450000,0.000000,88.900000
193,44.900000,0.000000,89.800000
194,45.400000,0.000000,90.800000
195,45.600000,0.000000,91.200000
196,46.050000,0.000000,92.100000
197,46.600000,0.000000,93.200000
198,47.200000,0.000000,94.400000
199,47.800000,0.000000,95.600000
200,48.150000,0.000000,96.300000
201,48.500000,0.000000,97.000000
202,48.800000,0.000000,97.600000
203,49.150000,0.000000,98.300000
204,49.700000,0.000000,99.400000
205,50.200000,0.000000,100.400000
206,50.750000,0.000000,101.500000
207,51.500000,0.000000,103.000000
208,52.050000,0.000000,104.100000
209,52.200000,0.000000,104.400000
210,52.650000,0.000000,105.300000
211,53.550000,0.000000,107.100000
