#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000
25,0.050000,0.000000,0.100000
26,0.050000,0.000000,0.100000
27,0.050000,0.000000,0.100000
28,0.050000,0.000000,0.100000
29,0.050000,0.000000,0.100000
30,0.050000,0.000000,0.100000
31,0.050000,0.000000,0.100000
32,0.050000,0.000000,0.100000
33,0.050000,0.000000,0.100000
34,0.050000,0.000000,0.100000
35,0.050000,0.000000,0.100000
36,0.050000,0.000000,0.100000
37,0.100000,0.000000,0.200000
38,0.150000,0.000000,0.300000
39,0.150000,0.000000,0.300000
40,0.150000,0.000000,0.300000
41,0.150000,0.000000,0.300000
42,0.150000,0.000000,0.300000
43,0.200000,0.000000,0.400000
44,0.200000,0.000000,0.400000
45,0.200000,0.000000,0.400000
46,0.200000,0.000000,0.400000
47,0.250000,0.000000,0.500000
48,0.300000,0.000000,0.600000
49,0.300000,0.000000,0.600000
50,0.300000,0.000000,0.600000
51,0.300000,0.000000,0.600000
52,0.300000,0.000000,0.600000
53,0.300000,0.000000,0.600000
54,0.300000,0.000000,0.600000
55,0.300000,0.000000,0.600000
56,0.300000,0.000000,0.600000
57,0.300000,0.000000,0.600000
58,0.300000,0.000000,0.600000
59,0.300000,0.000000,0.600000
60,0.300000,0.000000,0.600000
61,0.300000,0.000000,0.600000
62,0.300000,0.000000,0.600000
63,0.300000,0.000000,0.600000
64,0.300000,0.000000,0.600000
65,0.300000,0.000000,0.600000
66,0.300000,0.000000,0.600000
67,0.300000,0.000000,0.600000
68,0.400000,0.000000,0.800000
69,0.500000,0.000000,1.000000
70,0.500000,0.000000,1.000000
71,0.500000,0.000000,1.000000
72,0.550000,0.000000,1.100000
73,0.550000,0.000000,1.100000
74,0.600000,0.000000,1.200000
75,0.600000,0.000000,1.200000
76,0.600000,0.000000,1.200000
77,0.600000,0.000000,1.200000
78,0.600000,0.000000,1.200000
79,0.600000,0.000000,1.200000
80,0.600000,0.000000,1.200000
81,0.600000,0.000000,1.200000
82,0.600000,0.000000,1.200000
83,0.600000,0.000000,1.200000
84,0.600000,0.000000,1.200000
85,0.650000,0.000000,1.300000
86,0.650000,0.000000,1.300000
87,0.650000,0.000000,1.300000
88,0.750000,0.000000,1.500000
89,0.750000,0.000000,1.500000
90,0.750000,0.000000,1.500000
91,0.750000,0.000000,1.500000
92,0.750000,0.000000,1.500000
93,0.800000,0.000000,1.600000
94,0.900000,0.000000,1.800000
95,0.900000,0.000000,1.800000
96,0.950000,0.000000,1.900000
97,0.950000,0.000000,1.900000
98,0.950000,0.000000,1.900000
99,1.000000,0.000000,2.000000
100,1.050000,0.000000,2.100000
101,1.050000,0.000000,2.100000
102,1.050000,0.000000,2.100000
103,1.100000,0.000000,2.200000
104,1.200000,0.000000,2.400000
105,1.200000,0.000000,2.400000
106,1.250000,0.000000,2.500000
107,1.300000,0.000000,2.600000
108,1.350000,0.000000,2.700000
109,1.400000,0.000000,2.800000
110,1.400000,0.000000,2.800000
111,1.450000,0.000000,2.900000
112,1.550000,0.000000,3.100000
113,1.550000,0.000000,3.100000
114,1.600000,0.000000,3.200000
115,1.600000,0.000000,3.200000
116,1.750000,0.000000,3.500000
117,1.750000,0.000000,3.500000
118,1.800000,0.000000,3.600000
119,1.850000,0.000000,3.700000
120,1.850000,0.000000,3.700000
121,1.850000,0.000000,3.700000
122,1.850000,0.000000,3.700000
123,1.850000,0.000000,3.700000
124,1.850000,0.000000,3.700000
125,1.850000,0.000000,3.700000
126,1.850000,0.000000,3.700000
127,1.900000,0.000000,3.800000
128,1.950000,0.000000,3.900000
129,2.050000,0.000000,4.100000
130,2.050000,0.000000,4.100000
131,2.100000,0.000000,4.200000
132,2.150000,0.000000,4.300000
133,2.200000,0.000000,4.400000
134,2.200000,0.000000,4.400000
135,2.250000,0.000000,4.500000
136,2.300000,0.000000,4.600000
137,2.300000,0.000000,4.600000
138,2.300000,0.000000,4.600000
139,2.300000,0.000000,4.600000
140,2.400000,0.000000,4.800000
141,2.450000,0.000000,4.900000
142,2.450000,0.000000,4.900000
143,2.500000,0.000000,5.000000
144,2.500000,0.000000,5.000000
145,2.550000,0.000000,5.100000
146,2.550000,0.000000,5.100000
147,2.650000,0.000000,5.300000
148,2.700000,0.000000,5.400000
149,2.750000,0.000000,5.500000
150,2.800000,0.000000,5.600000
151,2.800000,0.000000,5.600000
152,2.800000,0.000000,5.600000
153,2.900000,0.000000,5.800000
154,2.900000,0.000000,5.800000
155,2.950000,0.000000,5.900000
156,2.950000,0.000000,5.900000
157,3.050000,0.000000,6.100000
158,3.050000,0.000000,6.100000
159,3.050000,0.000000,6.100000
160,3.050000,0.000000,6.100000
161,3.050000,0.000000,6.100000
162,3.050000,0.000000,6.100000
163,3.100000,0.000000,6.200000
164,3.100000,0.000000,6.200000
165,3.100000,0.000000,6.200000
166,3.100000,0.000000,6.200000
167,3.150000,0.000000,6.300000
168,3.150000,0.000000,6.300000
169,3.150000,0.000000,6.300000
170,3.200000,0.000000,6.400000
171,3.200000,0.000000,6.400000
172,3.300000,0.000000,6.600000
173,3.300000,0.000000,6.600000
174,3.400000,0.000000,6.800000
175,3.400000,0.000000,6.800000
176,3.550000,0.000000,7.100000
177,3.550000,0.000000,7.100000
178,3.650000,0.000000,7.300000
179,3.650000,0.000000,7.300000
180,3.650000,0.000000,7.300000
181,3.650000,0.000000,7.300000
182,3.650000,0.000000,7.300000
183,3.750000,0.000000,7.500000
184,3.800000,0.000000,7.600000
185,3.850000,0.000000,7.700000
186,3.850000,0.000000,7.700000
187,3.950000,0.000000,7.900000
188,4.000000,0.000000,8.000000
189,4.100000,0.000000,8.200000
190,4.100000,0.000000,8.200000
191,4.100000,0.000000,8.200000
192,4.200000,0.000000,8.400000
193,4.200000,0.000000,8.400000
194,4.250000,0.000000,8.500000
195,4.250000,0.000000,8.500000
196,4.250000,0.000000,8.500000
197,4.250000,0.000000,8.500000
198,4.350000,0.000000,8.700000
199,4.400000,0.000000,8.800000
200,4.400000,0.000000,8.800000
201,4.450000,0.000000,8.900000
202,4.550000,0.000000,9.100000
203,4.550000,0.000000,9.100000
204,4.550000,0.000000,9.100000
205,4.550000,0.000000,9.100000
206,4.550000,0.000000,9.100000
207,4.550000,0.000000,9.100000
208,4.600000,0.000000,9.200000
209,4.650000,0.000000,9.300000
210,4.800000,0.000000,9.600000
211,4.800000,0.000000,9.600000
212,4.800000,0.000000,9.600000
