#This is a CSV file containing the average TPL, TPU, and Cost values for the UW algorithm with PH path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.000000,0.000000
6,6.000000,0.000000
8,8.000000,0.000000
10,10.000000,0.000000
12,12.000000,0.000000
14,14.000000,0.000000
16,16.000000,0.000000
18,18.000000,0.000000
20,20.000000,0.000000
22,22.000000,0.000000
24,24.000000,0.000000
26,26.050000,0.050000
28,28.050000,0.050000
30,30.050000,0.050000
32,32.050000,0.050000
34,34.050000,0.050000
36,36.100000,0.100000
38,38.100000,0.100000
40,40.100000,0.100000
42,42.100000,0.100000
44,44.150000,0.150000
46,46.150000,0.150000
48,48.150000,0.150000
50,50.200000,0.200000
52,52.200000,0.200000
54,54.200000,0.200000
56,56.200000,0.200000
58,58.200000,0.200000
60,60.200000,0.200000
62,62.250000,0.250000
64,64.400000,0.400000
66,66.450000,0.450000
68,68.500000,0.500000
70,70.500000,0.500000
72,72.550000,0.550000
74,74.550000,0.550000
76,76.550000,0.550000
78,78.600000,0.600000
80,80.600000,0.600000
82,82.650000,0.650000
84,84.750000,0.750000
86,86.750000,0.750000
88,88.850000,0.850000
90,90.900000,0.900000
92,92.900000,0.900000
94,94.900000,0.900000
96,97.050000,1.050000
98,99.050000,1.050000
100,101.050000,1.050000
102,103.050000,1.050000
104,105.200000,1.200000
106,107.250000,1.250000
108,109.350000,1.350000
110,111.350000,1.350000
112,113.450000,1.450000
114,115.550000,1.550000
116,117.650000,1.650000
118,119.800000,1.800000
120,121.950000,1.950000
122,124.050000,2.050000
124,126.250000,2.250000
126,128.350000,2.350000
128,130.450000,2.450000
130,132.500000,2.500000
132,134.550000,2.550000
134,136.650000,2.650000
136,138.700000,2.700000
138,140.850000,2.850000
140,142.950000,2.950000
142,145.000000,3.000000
144,147.150000,3.150000
146,149.200000,3.200000
148,151.400000,3.400000
150,153.800000,3.800000
152,156.050000,4.050000
154,158.200000,4.200000
156,160.350000,4.350000
158,162.500000,4.500000
160,164.700000,4.700000
162,166.950000,4.900000
164,169.100000,5.050000
166,171.300000,5.250000
168,173.650000,5.600000
170,175.800000,5.750000
172,178.000000,5.950000
174,180.300000,6.250000
176,182.400000,6.350000
178,184.600000,6.550000
180,186.700000,6.650000
182,188.900000,6.850000
184,191.250000,7.200000
186,193.500000,7.450000
188,195.650000,7.600000
190,197.850000,7.800000
192,200.350000,8.250000
194,202.700000,8.600000
196,204.700000,8.600000
198,207.000000,8.900000
200,209.200000,9.100000
202,211.550000,9.450000
204,213.650000,9.550000
206,215.900000,9.800000
208,218.300000,10.200000
210,220.550000,10.450000
212,222.650000,10.550000
214,225.200000,11.050000
216,227.550000,11.400000
218,229.950000,11.800000
220,232.400000,12.250000
222,234.950000,12.750000
224,237.150000,12.950000
226,239.250000,13.050000
228,241.800000,13.600000
230,243.950000,13.750000
232,246.200000,14.000000
234,248.600000,14.400000
236,250.750000,14.550000
238,253.050000,14.850000
240,255.350000,15.150000
242,257.900000,15.700000
244,260.100000,15.900000
246,262.500000,16.300000
248,264.950000,16.750000
250,267.550000,17.350000
252,269.900000,17.700000
254,272.150000,17.950000
256,274.700000,18.500000
258,277.200000,19.000000
260,280.150000,19.950000
262,282.700000,20.450000
264,285.150000,20.900000
266,287.650000,21.350000
268,290.150000,21.850000
270,292.500000,22.200000
272,295.250000,22.900000
274,298.000000,23.600000
276,300.650000,24.250000
278,303.050000,24.600000
280,305.550000,25.100000
282,308.100000,25.650000
284,310.750000,26.300000
286,313.150000,26.700000
288,315.700000,27.250000
290,318.050000,27.600000
292,320.450000,28.000000
294,323.150000,28.700000
296,326.250000,29.700000
298,329.300000,30.750000
300,331.650000,31.100000
302,334.400000,31.900000
304,336.850000,32.350000
306,339.400000,32.900000
308,341.800000,33.300000
310,344.350000,33.850000
312,347.000000,34.450000
314,349.300000,34.750000
316,353.050000,36.200000
318,355.950000,37.000000
320,359.050000,38.100000
322,361.700000,38.750000
324,364.050000,39.100000
326,366.850000,39.900000
328,369.000000,40.050000
330,371.500000,40.550000
332,374.500000,41.500000
334,377.750000,42.700000
336,380.300000,43.250000
338,382.800000,43.750000
340,385.500000,44.450000
342,388.100000,45.050000
344,390.800000,45.800000
346,394.050000,46.950000
348,396.650000,47.550000
350,399.800000,48.650000
352,403.100000,49.900000
354,405.650000,50.500000
356,408.450000,51.200000
358,410.750000,51.600000
360,413.850000,52.650000
362,417.450000,53.950000
364,420.850000,55.100000
366,423.250000,55.500000
368,425.900000,56.150000
370,429.550000,57.650000
372,433.000000,58.900000
374,436.400000,60.250000
376,439.050000,60.850000
378,442.500000,62.100000
380,445.700000,63.300000
382,448.400000,64.000000
384,451.500000,65.000000
386,454.700000,66.050000
388,458.150000,67.250000
390,461.300000,68.300000
392,465.100000,69.650000
394,468.200000,70.700000
396,471.700000,71.800000
398,475.500000,73.250000
400,479.800000,75.250000
402,483.050000,76.400000
404,486.650000,77.750000
406,490.250000,79.050000
408,493.850000,80.400000
410,496.950000,81.400000
412,500.800000,83.000000
414,504.300000,84.450000
416,508.150000,86.100000
418,512.200000,87.850000
420,515.500000,89.000000
422,519.650000,91.000000
424,523.850000,93.050000
426,527.950000,94.700000
428,531.350000,95.950000
430,536.000000,98.200000
432,539.100000,99.200000
434,542.150000,100.250000
436,545.000000,101.000000
438,548.900000,102.600000
440,552.150000,103.750000
442,556.200000,105.350000
444,559.400000,106.350000
446,562.950000,107.850000
448,567.400000,109.850000
450,570.700000,111.000000
452,574.700000,112.500000
454,579.350000,114.400000
456,584.050000,116.500000
458,588.150000,118.250000
460,593.150000,120.350000
462,596.250000,121.350000
464,601.800000,123.850000
466,605.050000,124.900000
468,609.850000,127.000000
470,614.300000,129.000000
472,617.950000,130.550000
474,621.250000,131.600000
476,626.500000,133.250000
478,630.150000,134.650000
480,633.950000,136.250000
482,638.450000,137.750000
484,643.100000,139.400000
486,646.350000,140.650000
488,651.500000,143.050000
490,656.900000,145.600000
492,661.050000,147.750000
494,668.000000,151.000000
496,672.400000,152.700000
498,675.650000,153.950000
500,679.700000,155.650000
502,684.550000,157.900000
504,691.550000,161.650000
506,696.300000,163.950000
508,701.350000,166.550000
510,705.850000,168.250000
512,711.850000,171.200000
514,716.700000,172.900000
516,729.550000,179.250000
518,734.400000,181.400000
520,739.700000,184.100000
522,744.850000,186.650000
524,748.800000,188.300000
526,758.250000,193.050000
528,770.400000,198.900000
530,774.450000,200.550000
532,781.150000,203.400000
534,788.600000,207.300000
536,791.500000,208.200000
538,795.250000,209.550000
540,804.500000,213.950000
542,812.200000,217.350000
544,823.450000,222.550000
546,832.550000,227.300000
548,837.900000,229.800000
550,846.800000,233.750000
552,851.000000,235.750000
554,860.550000,240.100000
556,871.500000,245.500000
558,877.200000,248.550000
560,894.050000,256.750000
562,898.800000,259.050000
564,904.000000,261.950000
566,911.800000,265.400000
568,921.400000,270.550000
570,933.700000,276.550000
572,940.300000,280.250000
574,945.800000,282.600000
576,951.400000,285.150000
578,961.900000,289.450000
580,973.650000,295.400000
582,982.950000,299.650000
584,991.900000,303.400000
586,996.050000,305.450000
588,1001.050000,307.900000
590,1013.800000,313.900000
592,1020.950000,317.850000
594,1025.800000,320.150000
596,1031.000000,322.850000
598,1035.850000,325.250000
600,1047.250000,330.950000
602,1057.100000,335.850000
604,1063.500000,339.750000
606,1066.100000,340.850000
608,1070.200000,343.000000
610,1078.650000,347.350000
612,1084.250000,350.350000
614,1094.650000,355.300000
616,1099.200000,357.850000
618,1105.100000,361.200000
