#This is a CSV file containing the average TPL, TPU, and Cost values for the UW algorithm with PS path compression.
#The data was generated for n = 1000 and delta = 2.
N,Average TPL,Average TPU
2,2.000000,0.000000
4,4.000000,0.000000
6,6.000000,0.000000
8,8.000000,0.000000
10,10.000000,0.000000
12,12.000000,0.000000
14,14.000000,0.000000
16,16.000000,0.000000
18,18.000000,0.000000
20,20.000000,0.000000
22,22.000000,0.000000
24,24.000000,0.000000
26,26.050000,0.050000
28,28.050000,0.050000
30,30.050000,0.050000
32,32.050000,0.050000
34,34.050000,0.050000
36,36.100000,0.100000
38,38.100000,0.100000
40,40.100000,0.100000
42,42.100000,0.100000
44,44.150000,0.150000
46,46.150000,0.150000
48,48.150000,0.150000
50,50.200000,0.200000
52,52.200000,0.200000
54,54.200000,0.200000
56,56.200000,0.200000
58,58.200000,0.200000
60,60.200000,0.200000
62,62.250000,0.250000
64,64.400000,0.400000
66,66.450000,0.450000
68,68.500000,0.500000
70,70.500000,0.500000
72,72.550000,0.550000
74,74.550000,0.550000
76,76.550000,0.550000
78,78.600000,0.600000
80,80.600000,0.600000
82,82.650000,0.650000
84,84.750000,0.750000
86,86.750000,0.750000
88,88.850000,0.850000
90,90.900000,0.900000
92,92.900000,0.900000
94,94.900000,0.900000
96,97.050000,1.050000
98,99.050000,1.050000
100,101.050000,1.050000
102,103.050000,1.050000
104,105.200000,1.200000
106,107.250000,1.250000
108,109.350000,1.350000
110,111.350000,1.350000
112,113.450000,1.450000
114,115.550000,1.550000
116,117.650000,1.650000
118,119.800000,1.800000
120,121.950000,1.950000
122,124.050000,2.050000
124,126.250000,2.250000
126,128.350000,2.350000
128,130.450000,2.450000
130,132.500000,2.500000
132,134.550000,2.550000
134,136.650000,2.650000
136,138.700000,2.700000
138,140.850000,2.850000
140,142.950000,2.950000
142,145.000000,3.000000
144,147.150000,3.150000
146,149.200000,3.200000
148,151.400000,3.400000
150,153.800000,3.800000
152,156.050000,4.050000
154,158.200000,4.200000
156,160.350000,4.350000
158,162.500000,4.500000
160,164.700000,4.700000
162,166.950000,4.950000
164,169.100000,5.100000
166,171.300000,5.300000
168,173.650000,5.650000
170,175.800000,5.800000
172,178.000000,6.000000
174,180.300000,6.300000
176,182.400000,6.400000
178,184.600000,6.600000
180,186.700000,6.700000
182,188.900000,6.900000
184,191.250000,7.250000
186,193.500000,7.500000
188,195.650000,7.650000
190,197.850000,7.850000
192,200.350000,8.350000
194,202.700000,8.700000
196,204.700000,8.700000
198,207.000000,9.000000
200,209.200000,9.200000
202,211.550000,9.550000
204,213.650000,9.650000
206,215.900000,9.900000
208,218.300000,10.300000
210,220.550000,10.550000
212,222.650000,10.650000
214,225.200000,11.200000
216,227.550000,11.550000
218,229.950000,11.950000
220,232.400000,12.400000
222,234.950000,12.950000
224,237.150000,13.150000
226,239.250000,13.250000
228,241.800000,13.800000
230,243.950000,13.950000
232,246.200000,14.200000
234,248.600000,14.600000
236,250.750000,14.750000
238,253.050000,15.050000
240,255.350000,15.350000
242,257.900000,15.900000
244,260.100000,16.100000
246,262.500000,16.500000
248,264.950000,16.950000
250,267.550000,17.550000
252,269.900000,17.900000
254,272.150000,18.150000
256,274.700000,18.700000
258,277.200000,19.200000
260,280.150000,20.150000
262,282.700000,20.700000
264,285.150000,21.150000
266,287.650000,21.650000
268,290.150000,22.150000
270,292.500000,22.500000
272,295.250000,23.250000
274,298.000000,24.000000
276,300.650000,24.650000
278,303.050000,25.050000
280,305.550000,25.550000
282,308.100000,26.100000
284,310.750000,26.750000
286,313.150000,27.150000
288,315.700000,27.700000
290,318.050000,28.050000
292,320.450000,28.450000
294,323.150000,29.150000
296,326.250000,30.250000
298,329.300000,31.300000
300,331.650000,31.650000
302,334.400000,32.400000
304,336.850000,32.850000
306,339.400000,33.400000
308,341.800000,33.800000
310,344.350000,34.350000
312,347.000000,35.000000
314,349.300000,35.300000
316,353.050000,37.050000
318,355.950000,37.950000
320,359.050000,39.050000
322,361.700000,39.700000
324,364.050000,40.050000
326,366.850000,40.850000
328,369.000000,41.000000
330,371.500000,41.500000
332,374.500000,42.500000
334,377.750000,43.750000
336,380.300000,44.300000
338,382.800000,44.800000
340,385.500000,45.500000
342,388.100000,46.100000
344,390.800000,46.800000
346,394.050000,48.050000
348,396.650000,48.650000
350,399.800000,49.800000
352,403.100000,51.100000
354,405.650000,51.650000
356,408.450000,52.450000
358,410.750000,52.850000
360,413.850000,53.950000
362,417.450000,55.550000
364,420.850000,56.950000
366,423.250000,57.350000
368,425.900000,58.000000
370,429.550000,59.650000
372,433.000000,61.100000
374,436.400000,62.500000
376,439.050000,63.150000
378,442.500000,64.600000
380,445.700000,65.800000
382,448.400000,66.500000
384,451.500000,67.600000
386,454.700000,68.800000
388,458.150000,70.250000
390,461.300000,71.400000
392,465.100000,73.200000
394,468.200000,74.300000
396,471.700000,75.800000
398,475.500000,77.600000
400,479.800000,79.900000
402,483.050000,81.150000
404,486.650000,82.750000
406,490.250000,84.350000
408,493.850000,85.950000
410,496.950000,87.050000
412,500.800000,88.900000
414,504.300000,90.400000
416,508.150000,92.250000
418,512.200000,94.300000
420,515.500000,95.600000
422,519.650000,97.750000
424,523.850000,99.950000
426,527.950000,102.050000
428,531.350000,103.450000
430,536.000000,106.100000
432,539.100000,107.200000
434,542.150000,108.250000
436,545.000000,109.100000
438,548.850000,111.000000
440,552.100000,112.250000
442,556.150000,114.300000
444,559.350000,115.500000
446,562.900000,117.050000
448,567.350000,119.500000
450,570.650000,120.800000
452,574.650000,122.800000
454,579.300000,125.450000
456,584.000000,128.150000
458,588.100000,130.250000
460,593.100000,133.250000
462,596.200000,134.350000
464,601.750000,137.900000
466,605.000000,139.200000
468,609.800000,142.000000
470,614.250000,144.450000
472,617.900000,146.150000
474,621.200000,147.450000
476,626.450000,150.700000
478,630.100000,152.400000
480,633.900000,154.300000
482,638.400000,156.800000
484,643.050000,159.500000
486,646.300000,160.850000
488,651.450000,164.100000
490,656.850000,167.500000
492,660.950000,169.600000
494,667.900000,174.600000
496,672.300000,177.000000
498,675.550000,178.250000
500,679.550000,180.250000
502,684.400000,183.100000
504,691.400000,188.150000
506,696.150000,190.900000
508,701.200000,193.950000
510,705.600000,196.400000
512,711.600000,200.400000
514,716.400000,203.300000
516,729.250000,214.150000
518,734.100000,217.000000
520,739.400000,220.300000
522,744.500000,223.450000
524,748.450000,225.400000
526,757.900000,232.950000
528,770.050000,243.100000
530,774.100000,245.150000
532,780.800000,249.850000
534,788.250000,255.400000
536,791.150000,256.400000
538,794.900000,258.200000
540,804.150000,265.550000
542,811.600000,271.050000
544,822.800000,280.300000
546,831.650000,287.200000
548,836.950000,290.500000
550,845.850000,297.550000
552,850.050000,299.850000
554,859.400000,307.350000
556,870.350000,316.350000
558,875.800000,320.000000
560,892.650000,334.850000
562,897.500000,337.800000
564,902.700000,341.150000
566,910.450000,346.950000
568,920.000000,354.500000
570,931.450000,364.000000
572,937.800000,368.350000
574,943.100000,371.750000
576,948.450000,375.100000
578,958.950000,383.650000
580,970.600000,393.400000
582,979.800000,400.700000
584,989.350000,408.250000
586,993.500000,410.550000
588,998.400000,413.850000
590,1010.750000,424.250000
592,1017.850000,429.450000
594,1022.250000,431.950000
596,1027.400000,435.350000
598,1032.150000,438.300000
600,1043.850000,448.200000
602,1053.450000,455.950000
604,1059.600000,460.250000
606,1062.350000,461.150000
608,1066.400000,463.400000
610,1074.700000,469.850000
612,1080.300000,473.750000
614,1090.500000,482.150000
616,1094.750000,484.900000
618,1100.050000,488.600000
