#This is a CSV file generated by my program.
#Comments can be added at the beginning of the file.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.050000,0.050000,0.200000
5,0.100000,0.100000,0.400000
6,0.200000,0.200000,0.800000
7,0.250000,0.250000,1.000000
8,0.400000,0.450000,1.700000
9,0.650000,0.700000,2.700000
10,0.750000,0.800000,3.100000
11,0.850000,0.950000,3.600000
12,1.000000,1.100000,4.200000
13,1.150000,1.300000,4.900000
14,1.450000,1.700000,6.300000
15,1.750000,2.050000,7.600000
16,1.900000,2.200000,8.200000
17,2.200000,2.500000,9.400000
18,2.500000,2.850000,10.700000
19,2.800000,3.150000,11.900000
20,3.250000,3.600000,13.700000
21,3.700000,4.200000,15.800000
22,4.050000,4.600000,17.300000
23,4.400000,4.950000,18.700000
24,5.050000,5.750000,21.600000
25,5.250000,5.950000,22.400000
26,5.950000,6.750000,25.400000
27,6.450000,7.400000,27.700000
28,7.000000,8.050000,30.100000
29,7.500000,8.750000,32.500000
30,8.250000,9.700000,35.900000
31,8.650000,10.100000,37.500000
32,9.400000,11.100000,41.000000
33,10.000000,11.900000,43.800000
34,10.550000,12.500000,46.100000
35,10.950000,13.000000,47.900000
36,11.550000,14.050000,51.200000
37,12.250000,15.100000,54.700000
38,12.950000,16.100000,58.100000
39,13.750000,17.250000,62.000000
40,14.500000,18.350000,65.700000
41,15.350000,19.600000,69.900000
42,16.050000,20.500000,73.100000
43,16.800000,21.750000,77.100000
44,17.700000,23.250000,81.900000
45,18.600000,24.700000,86.600000
46,19.650000,26.450000,92.200000
47,20.400000,28.050000,96.900000
48,21.350000,29.700000,102.100000
49,22.350000,31.400000,107.500000
50,23.350000,33.050000,112.800000
51,24.250000,34.800000,118.100000
52,25.450000,37.150000,125.200000
53,26.450000,39.150000,131.200000
54,27.250000,40.850000,136.200000
55,28.100000,42.000000,140.200000
56,29.250000,43.750000,146.000000
57,30.050000,45.200000,150.500000
58,31.100000,46.950000,156.100000
59,32.100000,48.450000,161.100000
60,33.300000,50.550000,167.700000
61,34.600000,53.000000,175.200000
62,35.750000,55.400000,182.300000
63,36.950000,57.750000,189.400000
64,37.950000,59.750000,195.400000
65,39.450000,62.800000,204.500000
66,40.750000,66.250000,214.000000
67,41.950000,69.000000,221.900000
68,43.000000,71.100000,228.200000
69,44.200000,73.650000,235.700000
70,45.400000,76.450000,243.700000
71,46.500000,79.100000,251.200000
72,48.000000,83.150000,262.300000
73,49.150000,86.450000,271.200000
74,50.200000,89.100000,278.600000
75,51.400000,91.950000,286.700000
76,52.800000,95.750000,297.100000
77,54.000000,99.200000,306.400000
78,55.100000,102.200000,314.600000
79,56.350000,105.500000,323.700000
80,57.500000,108.300000,331.600000
81,58.550000,111.350000,339.800000
82,59.600000,114.750000,348.700000
83,60.600000,118.200000,357.600000
84,61.650000,121.000000,365.300000
85,62.550000,123.650000,372.400000
86,63.500000,126.800000,380.600000
87,64.700000,130.400000,390.200000
88,65.700000,133.500000,398.400000
89,66.750000,136.250000,406.000000
90,68.000000,139.300000,414.600000
91,69.100000,143.350000,424.900000
92,70.300000,146.800000,434.200000
93,71.450000,151.200000,445.300000
94,72.550000,154.450000,454.000000
95,73.650000,158.400000,464.100000
96,74.650000,162.250000,473.800000
97,75.700000,165.900000,483.200000
98,76.750000,170.000000,493.500000
99,77.700000,174.300000,504.000000
